区市町村名,学校名,学科名,募集人員／第１学年,募集人員／第２学年,募集人員／第３学年,募集人員／第４学年,受付期間,選抜日,発表日,昨年度第二学期補欠募集の実施状況／第１学年,昨年度第二学期補欠募集の実施状況／第２学年,昨年度第二学期補欠募集の実施状況／第３学年,昨年度第二学期補欠募集の実施状況／第４学年
品川,大崎,普通科,14,15,13,14,"8/23,24",8/25,8/25,,,,
品川,小山台※,普通科,10,4,35,22,"8/21,22",8/23,8/23,,○,,
大田,大森※,普通科,1,9,5,13,"8/17,18",8/21,8/21,,,,
大田,雪谷,普通科,21,28,18,19,"8/22,23",8/24,8/24,,,,
世田谷,桜町,普通科,16,22,17,22,"8/28,29",8/30,8/30,○,,,
世田谷,松原,普通科,15,14,14,15,"8/22,23",8/25,8/25,,,,
豊島,豊島,普通科,9,5,27,30,"8/18,21",8/22,8/22,○,○,,
板橋,大山,普通科,10,,22,26,"8/21,22",8/23,8/23,○,○,,
足立,足立※,普通科,25,33,32,16,"8/21,22",8/23,8/23,○,○,,
足立,江北※,普通科,30,3,29,20,"8/21,22",8/23,8/23,,○,,
葛飾,南葛飾※,普通科,16,,6,4,"8/25,28",8/29,8/29,○,,,
葛飾,葛飾商業,普通科,22,18,19,13,"8/21,22",8/23,8/23,,,,
江戸川,江戸川,普通科,,11,10,22,"8/24,25",8/28,8/28,○,○,,
江戸川,葛西南,普通科,13,27,1,33,"8/23,24",8/25,8/25,,,,
立川,立川,普通科,,,7,34,"8/24,25",8/28,8/28,○,○,○,
府中,農業,普通科,18,30,20,29,"8/17,18",8/21,8/21,○,,,
調布,神代,普通科,8,15,9,15,"8/24,25",8/28,8/28,,○,,
町田,町田,普通科,19,18,28,33,"8/16,17",8/18,8/18,○,○,○,
福生,福生※,普通科,2,1,21,33,"8/17,18",8/21,8/21,,○,○,○
大島,大島※,普通科,26,29,28,28,"8/28,29",8/30,8/30,,,,
八丈,八丈※,普通科,27,24,26,29,"8/23,24",8/25,8/25,,,,
普通科計,,,302,306,387,470,,,,,,,
注）「昨年度第二学期補欠募集の実施状況」欄では、昨年度の第二学期補欠募集を行った学校のうち、実際に検査を実施した（受検者がいた）学年に○印を付している。,,,,,,,,,,,,,
注）普通科の選抜は、国語・数学・英語の学力検査及び面接により行う。／ただし、※印を付した都立高校の選抜は、次により行う。,,,,,,,,,,,,,
都立小山台高校／作文・面接,,,,,,,,,,,,,
都立大森高校／作文・面接,,,,,,,,,,,,,
都立足立高校／作文・面接,,,,,,,,,,,,,
都立江北高校／作文・面接,,,,,,,,,,,,,
都立南葛飾高校／作文・面接,,,,,,,,,,,,,
都立福生高校／作文・面接,,,,,,,,,,,,,
都立大島高校／作文・面接,,,,,,,,,,,,,
都立八丈高校／作文・面接,,,,,,,,,,,,,
