,5そう思う永福,5そう思う青峰,4まあそう思う永福,4まあそう思う青峰,3あまり思わない永福,3あまり思わない青峰,2思わない永福,2思わない青峰,1どちらとも言えない永福,1どちらとも言えない青峰
1介護士への積極的な働きかけ（指示・連絡）を行っている。,9,12,10,8,5,0,6,0,3,2
1介護士への積極的な働きかけ（指示・連絡）を行っている。(%),27.3,54.5,30.3,36.7,15.6,0,18.2,0,9.1,9.1
1介護士への積極的な働きかけ（指示・連絡）を行っている。(合算)(%),38.2,38.2,32.7,32.7,9.1,9.1,10.9,10.9,9.1,9.1
2介護士と児童・生徒の情報を共有しよと努めている。,12,15,9,5,2,0,6,0,4,2
2介護士と児童・生徒の情報を共有しよと努めている。(%),36.4,68.2,27.3,22.7,6.1,0,18.2,0,12.1,9.1
2介護士と児童・生徒の情報を共有しよと努めている。(合算)(%),49.1,49.1,25.5,25.5,3.6,3.6,10.9,10.9,10.9,10.9
3介護士と授業に関する情報を共有しようと努めている。,5,9,10,8,7,1,8,0,3,4
3介護士と授業に関する情報を共有しようと努めている。(%),15.2,40.9,30.3,36.4,21.2,4.5,24.2,0,9.1,18.2
3介護士と授業に関する情報を共有しようと努めている。(合算)(%),25.5,25.5,32.7,32.7,14.5,14.5,14.5,14.5,12.7,12.7
4介護士との役割分担が明確になっている。,5,9,7,6,6,3,13,2,2,2
4介護士との役割分担が明確になっている。(%),15.2,40.9,21.2,27.3,18.2,13.6,39.4,9.1,6.1,9.1
4介護士との役割分担が明確になっている。(合算)(%),25.5,25.5,23.6,23.6,16.4,16.4,27.2,27.2,7.3,7.3
5介護士と連携を図ることで、児童・生徒の安全が確保されている。,4,14,14,3,2,0,10,1,3,4
5介護士と連携を図ることで、児童・生徒の安全が確保されている。(%),12.1,63.6,42.4,13.6,6.1,0,30.3,4.5,9.1,18.2
5介護士と連携を図ることで、児童・生徒の安全が確保されている。(合算)(%),32.7,32.7,30.9,30.9,3.6,3.6,20.0,20.0,12.7,12.7
