区市町村名,学校名,科名・部,募集区分,募集人員（男女問わず）,受検人員／男,受検人員／女,受検人員／計,合格人員／男,合格人員／女,合格人員／計
千代田,一橋,普通科１部,１学年相当,36,19,34,53,12,24,36
千代田,一橋,普通科１部,２学年相当以上,6,1,0,1,0,0,0
千代田,一橋,普通科２部,１学年相当,36,31,32,63,18,18,36
千代田,一橋,普通科２部,２学年相当以上,6,2,0,2,0,0,0
千代田,一橋,普通科３部,１学年相当,24,11,10,21,12,12,24
千代田,一橋,普通科３部,２学年相当以上,3,0,0,0,0,0,0
千代田,一橋,計,１学年相当計,96,61,76,137,42,54,96
千代田,一橋,計,２学年相当以上計,15,3,0,3,0,0,0
千代田,一橋,計,計,111,64,76,140,42,54,96
新宿,新宿山吹,普通科１～４部,１学年相当,100,88,80,168,59,51,110
新宿,新宿山吹,普通科１～４部,２学年相当以上,50,4,5,9,1,3,4
新宿,新宿山吹,普通科１～４部,計,150,92,85,177,60,54,114
新宿,新宿山吹,情報科２・４部,１学年相当,46,47,18,65,32,24,56
新宿,新宿山吹,計,１学年相当計,146,135,98,233,91,75,166
新宿,新宿山吹,計,２学年相当以上計,50,4,5,9,1,3,4
新宿,新宿山吹,計,計,196,139,103,242,92,78,170
台東,浅草,普通科１部,１学年相当,36,35,50,85,11,25,36
台東,浅草,普通科１部,２学年相当以上,5,0,0,0,0,0,0
台東,浅草,普通科２部,１学年相当,36,25,33,58,12,24,36
台東,浅草,普通科２部,２学年相当以上,5,0,0,0,0,0,0
台東,浅草,普通科３部,１学年相当,24,13,21,34,8,16,24
台東,浅草,普通科３部,２学年相当以上,5,0,2,2,0,2,2
台東,浅草,計,１学年相当計,96,73,104,177,31,65,96
台東,浅草,計,２学年相当以上計,15,0,2,2,0,2,2
台東,浅草,計,計,111,73,106,179,31,67,98
杉並,荻窪,普通科１部,１学年相当,36,19,35,54,11,25,36
杉並,荻窪,普通科１部,２学年相当以上,6,0,0,0,0,0,0
杉並,荻窪,普通科２部,１学年相当,36,36,42,78,9,27,36
杉並,荻窪,普通科２部,２学年相当以上,6,0,0,0,0,0,0
杉並,荻窪,普通科３部,１学年相当,24,11,6,17,16,8,24
杉並,荻窪,普通科３部,２学年相当以上,3,0,1,1,0,1,1
杉並,荻窪,計,１学年相当計,96,66,83,149,36,60,96
杉並,荻窪,計,２学年相当以上計,15,0,1,1,0,1,1
杉並,荻窪,計,計,111,66,84,150,36,61,97
八王子,八王子拓真,普通科１部,１学年相当,36,57,52,109,12,24,36
八王子,八王子拓真,普通科１部,２学年相当以上,6,1,1,2,1,0,1
八王子,八王子拓真,普通科２部,１学年相当,36,44,46,90,12,24,36
八王子,八王子拓真,普通科２部,２学年相当以上,6,0,0,0,0,0,0
八王子,八王子拓真,普通科３部,１学年相当,24,27,14,41,13,11,24
八王子,八王子拓真,普通科３部,２学年相当以上,3,0,0,0,0,0,0
八王子,八王子拓真,計,１学年相当計,96,128,112,240,37,59,96
八王子,八王子拓真,計,２学年相当以上計,15,1,1,2,1,0,1
八王子,八王子拓真,計,計,111,129,113,242,38,59,97
立川,砂川,普通科１～３部,１学年相当,120,67,96,163,47,73,120
立川,砂川,普通科１～３部,２学年相当以上,15,0,1,1,0,1,1
立川,砂川,普通科１～３部,計,135,67,97,164,47,74,121
定時制課程単位制計,,,１学年相当計,650,530,569,1099,284,386,670
定時制課程単位制計,,,２学年相当以上計,125,8,10,18,2,7,9
定時制課程単位制計,,,計,775,538,579,1117,286,393,679
