区市町村名,学校名,学科名,募集人員／第１学年／区分１,募集人員／第１学年／区分２,募集人員／第２学年／区分１,募集人員／第２学年／区分２,募集人員／第３学年／区分１,募集人員／第３学年／区分２,受付期間,選抜日,発表日,昨年度第二学期補欠募集の実施状況／第１学年,昨年度第二学期補欠募集の実施状況／第２学年,昨年度第二学期補欠募集の実施状況／第３学年
文京,工芸※,ﾏｼﾝｸﾗﾌﾄ科,,1,,,,1,"8/3,4",8/5,8/5,○,,
文京,工芸※,ｲﾝﾃﾘｱ科,,,,1,1,,"8/3,4",8/5,8/5,,,
文京,工芸※,ﾃﾞｻﾞｲﾝ科,1,,,,,1,"8/3,4",8/5,8/5,,,
文京,工芸※,ｸﾞﾗﾌｨｯｸｱｰﾂ科,,,1,,,,"8/3,4",8/5,8/5,,,
台東,蔵前工業,機械科,1,1,1,2,1,3,"8/9,10",8/12,8/12,○,,
台東,蔵前工業,電気科,,,,,,3,"8/9,10",8/12,8/12,,,
台東,蔵前工業,建築科,,,,3,,1,"8/9,10",8/12,8/12,,,
台東,蔵前工業,設備工業科,,,,5,,2,"8/9,10",8/12,8/12,,,
江東,墨田工業,機械科,1,,,5,,11,"8/9,10",8/12,8/12,,,
江東,墨田工業,自動車科,,,1,5,,3,"8/9,10",8/12,8/12,,,
江東,墨田工業,電気科,,,,3,,12,"8/9,10",8/12,8/12,,,
江東,墨田工業,建築科,,1,,2,1,,"8/9,10",8/12,8/12,,,
世田谷,総合工科※,機械・自動車科,,1,,7,,8,"8/9,10",8/12,8/12,,,
世田谷,総合工科※,電気・情報ﾃﾞｻﾞｲﾝ科,,,1,4,,9,"8/9,10",8/12,8/12,,,
世田谷,総合工科※,建築・都市工学科,1,,,12,1,7,"8/9,10",8/12,8/12,,,
中野,中野工業※,総合技術科,1,1,1,29,1,21,"8/9,10",8/12,8/12,○,,
杉並,杉並工業,機械科,1,1,,7,,7,"8/3,4",8/5,8/5,,,
杉並,杉並工業,電子科,,,,12,,4,"8/3,4",8/5,8/5,,○,
杉並,杉並工業,理工環境科,,,1,9,,7,"8/3,4",8/5,8/5,,,
荒川,荒川工業,電気科,1,1,1,2,1,7,"8/3,4",8/5,8/5,○,,
荒川,荒川工業,電子科,,,,,,10,"8/3,4",8/5,8/5,,,
荒川,荒川工業,情報技術科,,,,2,,11,"8/3,4",8/5,8/5,,,
板橋,北豊島工業,総合技術科,1,1,1,48,1,34,"8/9,10",8/12,8/12,,,
練馬,練馬工業※,ｷｬﾘｱ技術科,1,1,1,18,1,23,"8/9,10",8/12,8/12,○,○,
足立,足立工業※,総合技術科,1,1,1,39,1,45,"8/3,4",8/5,8/5,○,,
江戸川,葛西工業,機械科,,1,,1,,1,"8/3,4",8/5,8/5,,,
江戸川,葛西工業,建築科,1,,1,8,1,8,"8/3,4",8/5,8/5,,,
府中,府中工業,機械科,,,1,6,,5,"8/3,4",8/5,8/5,○,,
府中,府中工業,電気科,,,,11,1,9,"8/3,4",8/5,8/5,,,
府中,府中工業,情報技術科,,,,2,,3,"8/3,4",8/5,8/5,,,
府中,府中工業,工業技術科,1,1,,1,,4,"8/3,4",8/5,8/5,,,
町田,町田工業,総合情報科,1,1,1,19,1,15,"8/3,4",8/5,8/5,,,
福生,多摩工業※,機械科,,1,1,1,,1,"8/9,10",8/12,8/12,,,
福生,多摩工業※,電気科,1,,,8,1,4,"8/9,10",8/12,8/12,,,
福生,多摩工業※,環境化学科,,,,1,,3,"8/9,10",8/12,8/12,,,
西東京,田無工業※,機械科,,,,13,,14,"8/9,10",8/12,8/12,,,
西東京,田無工業※,建築科,1,1,1,9,1,12,"8/9,10",8/12,8/12,,,
西東京,田無工業※,都市工学科,,,,3,,4,"8/9,10",8/12,8/12,,,
工業科計,,,15,15,15,298,14,313,,,,,,
注）募集区分／区分１：保護者の転勤等による都外からの一家転住者／区分２：一般,,,,,,,,,,,,,,
注）「昨年度第二学期補欠募集の実施状況」欄では、昨年度の第二学期補欠募集を行った学校のうち、実際に検査を実施した（受検者がいた）学年に○印を付している。,,,,,,,,,,,,,,
注）工業科の選抜は、国語・数学・英語・専門教科の学力検査及び面接により行う。／ただし、※印を付した都立高校の以下に示す学年の選抜は、次により行う。,,,,,,,,,,,,,,
都立工芸高校／第１学年／国語・数学・英語・面接,,,,,,,,,,,,,,
都立総合工科高校／第１・２・３学年／国語・数学・英語・面接,,,,,,,,,,,,,,
都立中野工業高校／第１・２・３学年／国語・数学・英語・面接,,,,,,,,,,,,,,
都立練馬工業高校／第１・２・３学年／作文・面接（パーソナルプレゼンテーションを含む。）,,,,,,,,,,,,,,
都立足立工業高校／第１学年／国語・数学・英語・面接,,,,,,,,,,,,,,
都立多摩工業高校／第１学年／国語・数学・英語・面接,,,,,,,,,,,,,,
都立田無工業高校／第１学年／国語・数学・英語・面接,,,,,,,,,,,,,,
