区市町村名,学校名,学科名,募集人員／第１学年／区分１,募集人員／第１学年／区分２,募集人員／第２学年／区分１,募集人員／第２学年／区分２,募集人員／第３学年／区分１,募集人員／第３学年／区分２,受付期間,選抜日,発表日,昨年度第二学期補欠募集の実施状況／第１学年,昨年度第二学期補欠募集の実施状況／第２学年,昨年度第二学期補欠募集の実施状況／第３学年
新宿,新宿,普通科,1,2,2,2,,,"8/9,10",8/12,8/12,○,,
台東,忍岡,普通科,2,2,2,3,2,8,"8/9,10",8/12,8/12,,,
墨田,墨田川,普通科,2,2,1,2,2,8,"8/3,4",8/5,8/5,,○,
大田,美原,普通科,2,2,2,4,2,15,"8/3,4",8/5,8/5,○,○,
世田谷,芦花,普通科,2,2,2,2,2,4,"8/9,10",8/12,8/12,○,,
北,飛鳥,普通科,2,2,2,,1,5,"8/9,10",8/12,8/12,○,○,
板橋,板橋有徳,普通科,2,2,2,1,2,6,"8/3,4",8/5,8/5,○,,
練馬,大泉桜,普通科,2,2,2,1,2,2,"8/3,4",8/5,8/5,○,○,
八王子,翔陽,普通科,2,2,2,2,2,2,"8/3,4",8/5,8/5,,,
国分寺,国分寺,普通科,2,2,1,2,1,2,"8/3,4",8/5,8/5,○,○,
武蔵村山,上水,普通科,2,2,2,2,2,4,"8/9,10",8/12,8/12,○,,
普通科（単位制）計,,,21,22,20,21,18,56,,,,,,
注）募集区分／区分１：保護者の転勤等による都外からの一家転住者／区分２：一般,,,,,,,,,,,,,,
注）「昨年度第二学期補欠募集の実施状況」欄では、昨年度の第二学期補欠募集を行った学校のうち、実際に検査を実施した（受検者がいた）学年に○印を付している。,,,,,,,,,,,,,,
注）普通科（単位制）の選抜は、国語・数学・英語の学力検査及び面接により行う。,,,,,,,,,,,,,,
