区市町村名,施設区分,施設名,所在地,緯度,経度,座標系,電話番号,備考
文京区,青少年施設,＊文京区青少年プラザ（b-lab）,文京区湯島4-7-1,35.708876,139.765640,JGD2011,03-5800-2731,
台東区,青少年施設,＊?台東区立少年自然の家霧が峰学園,長野県諏訪市大字上諏訪字角間沢東13338-100,36.100603,138.164580,JGD2011,0266-52-0257,宿泊
墨田区,青少年施設,＊?わんぱく天国,墨田区押上1-47-8,35.709276,139.817571,JGD2011,03-3612-1456,
江東区,青少年施設,＊?江東区青少年センター,江東区亀戸7-41-16,35.696754,139.837383,JGD2011,03-3681-7334,
目黒区,青少年施設,＊?青少年プラザ,目黒区中目黒2-10-13,35.640400,139.703088,JGD2011,03-5721-8575,
大田区,青少年施設,＊?大田区青少年交流センター（ゆいっつ）,大田区平和島4-2-15,35.583607,139.743062,JGD2011,03-3763-9421,宿泊
世田谷区,青少年施設,＊?青少年交流センター??池之上青少年会館,世田谷区代沢2-37-18,35.659385,139.673369,JGD2011,03-3413-9504,
世田谷区,青少年施設,＊?野毛青少年交流センター,世田谷区野毛2-15-19,35.603237,139.641674,JGD2011,03-3702-4587,
渋谷区,青少年施設,＊?アクティブ峰の原（峰の原青少年山の家）,須坂市大字仁礼字峰の原3153-539,36.551252,138.358714,JGD2011,0268-74-3179,宿泊
渋谷区,青少年施設,＊?初台青年館,渋谷区初台1ｰ33ｰ10,35.679626,139.684877,JGD2011,03-3370-8602,
渋谷区,青少年施設,＊?新島青少年センター,東京都新島村字瀬戸山,34.363339,139.249216,JGD2011,04992-5-0449,宿泊
荒川区,青少年施設,＊?清里高原少年自然の家,山梨県北杜市高根町清里3545-5,35.920634,138.442503,JGD2011,0551-48-2296,宿泊
板橋区,青少年施設,＊?少年自然の家八ヶ岳荘,長野県諏訪郡富士見町立沢字広原1-1322,35.954749,138.289235,JGD2011,0266-66-2323,宿泊
練馬区,青少年施設,＊?春日町青少年館,練馬区春日町4-16-9,35.752567,139.639232,JGD2011,03-3998-5341,
練馬区,青少年施設,＊?南大泉青少年館,練馬区南大泉1-44-7,35.743367,139.574898,JGD2011,03-3924-3500,
練馬区,青少年施設,＊?軽井沢少年自然の家（ベルデ軽井沢）,長野県北佐久郡軽井沢町大字追分1341-1,36.352078,138.549069,JGD2011,0267-46-4141,宿泊
練馬区,青少年施設,＊?武石少年自然の家（ベルデ武石）,長野県上田市武石上本入2469,36.267710,138.140157,JGD2011,0268-86-2525,宿泊
練馬区,青少年施設,＊?岩井少年自然の家（ベルデ岩井）,千葉県南房総市久枝837,35.099341,139.839910,JGD2011,0470-57-4141,宿泊
練馬区,青少年施設,＊?下田少年自然の家（ベルデ下田）,静岡県下田市須崎73,34.667198,138.971429,JGD2011,0558-22-5650,宿泊
足立区,青少年施設,＊?こども未来創造館,足立区栗原1-3-1,35.779785,139.790513,JGD2011,03-5242-8161,
葛飾区,青少年施設,＊?葛飾区子ども動物広場（ポニースクールかつしか）,葛飾区水元1-19,35.782023,139.856565,JGD2011,03-3627-0745,
八王子市,青少年施設,＊?八王子市姫木平自然の家,長野県小県郡長和町大門3515-29,36.124226,138.233835,JGD2011,0268-69-2417,宿泊
昭島市,青少年施設,＊?青少年交流センター,昭島市昭和町1-6-11,35.710986,139.365562,JGD2011,042-544-1116,
調布市,青少年施設,＊?調布市青少年交流館,調布市飛田給1-52-1,35.661170,139.525603,JGD2011,042-481-1115,宿泊
調布市,青少年施設,＊?調布市八ヶ岳少年自然の家,山梨県北杜市高根町清里3545-1,35.940648,138.441172,JGD2011,0551-48-2014,宿泊
町田市,青少年施設,＊?町田市青少年施設｢ひなた村｣,町田市本町田2863,35.567766,139.445398,JGD2011,042-722-5736,
町田市,青少年施設,＊?大地沢青少年センター,町田市相原町5307-2,35.612276,139.276564,JGD2011,042-782-3800,宿泊
小金井市,青少年施設,＊?小金井市立清里少年自然の家,山梨県北杜市高根町清里字念場原3545-1,35.939413,138.443365,JGD2011,0551-48-4649,宿泊
多摩市,青少年施設,＊?多摩市立八ヶ岳少年自然の家,長野県諏訪郡富士見町立沢字広原1-1205,35.949511,138.290437,JGD2011,0266-66-2036,宿泊
羽村市,青少年施設,＊?羽村市自然休暇村八ヶ岳少年自然の家,山梨県北杜市高根町清里3545-3877,35.929175,138.429847,JGD2011,0551-48-4017,宿泊
三宅村,青少年施設,＊??三宅村青年館,三宅村阿古700-4,34.064638,139.482452,JGD2011,04994-5-0952（教育委員会）,
,,,,,,,,施設名の前に＊印のあるものは、各施設関連情報掲載サイトへのリンクがあります。
