学校区分,学校数(各学校区分計),設置学部,学級数（学級）,在籍者数（人）
盲学校,4,幼稚部,10,24
盲学校,4,小学部,25,63
盲学校,4,中学部,11,34
盲学校,4,高等部,29,132
盲学校,4,小計,75,253
ろう学校,8,幼稚部,26,111
ろう学校,8,小学部,54,190
ろう学校,8,中学部,26,88
ろう学校,8,高等部,38,212
ろう学校,8,小計,144,601
養護学校肢体不自由養護学校,１４（うち２校は知的障害との併置）,小学部,291,928
養護学校肢体不自由養護学校,１４（うち２校は知的障害との併置）,中学部,153,491
養護学校肢体不自由養護学校,１４（うち２校は知的障害との併置）,高等部,145,503
養護学校肢体不自由養護学校,１４（うち２校は知的障害との併置）,小計,589,"1,922"
養護学校知的障害養護学校,３０（うち２校は肢体不自由との併置）,小学部,371,"1,391"
養護学校知的障害養護学校,３０（うち２校は肢体不自由との併置）,中学部,243,961
養護学校知的障害養護学校,３０（うち２校は肢体不自由との併置）,高等部,419,2528
養護学校知的障害養護学校,３０（うち２校は肢体不自由との併置）,小計,1033,4880
養護学校病弱養護学校,2,小学部,10,19
養護学校病弱養護学校,2,中学部,10,38
養護学校病弱養護学校,2,小計,20,57
合計,58,―,1861,7713
