都道府県,新聞名,開架期間,原紙保存期間
北海道,北海道新聞,3ヵ月,4年
青森,東奥日報,3ヵ月,4年
岩手,岩手日報,3ヵ月,4年
宮城,河北新報,3ヵ月,4年
秋田,秋田魁新報,3ヵ月,4年
山形,山形新聞,3ヵ月,4年
福島,福島民報,3ヵ月,4年
福島,福島民友,3ヵ月,4年
茨城,茨城新聞,3ヵ月,4年
栃木,下野新聞,3ヵ月,4年
群馬,上毛新聞,3ヵ月,4年
埼玉,埼玉新聞,3ヵ月,4年
千葉,千葉日報,3ヵ月,4年
神奈川,神奈川新聞,3ヵ月,4年
新潟,新潟日報,3ヵ月,4年
富山,北日本新聞,3ヵ月,4年
石川,北国新聞,3ヵ月,4年
福井,福井新聞,3ヵ月,4年
山梨,山梨日日新聞,3ヵ月,4年
長野,信濃毎日新聞,3ヵ月,4年
岐阜,岐阜新聞,3ヵ月,4年
静岡,静岡新聞,3ヵ月,4年
愛知,中日新聞,3ヵ月,4年
三重,伊勢新聞,3ヵ月,4年
滋賀,京都新聞 滋賀版,3ヵ月,4年
京都,京都新聞,3ヵ月,4年
大阪,朝日新聞 大阪版,3ヵ月,4年
大阪,毎日新聞 大阪版,3ヵ月,4年
兵庫,神戸新聞,3ヵ月,4年
奈良,奈良新聞,3ヵ月,4年
和歌山,紀伊民報,3ヵ月,4年
鳥取,日本海新聞,3ヵ月,4年
島根,山陰中央新報,3ヵ月,4年
岡山,山陽新聞,3ヵ月,4年
広島,中国新聞,3ヵ月,4年
山口,山口新聞,3ヵ月,4年
徳島,徳島新聞,3ヵ月,4年
香川,四国新聞,3ヵ月,4年
愛媛,愛媛新聞,3ヵ月,4年
高知,高知新聞,3ヵ月,4年
福岡,西日本新聞,3ヵ月,4年
佐賀,佐賀新聞,3ヵ月,4年
長崎,長崎新聞,3ヵ月,4年
熊本,熊本日日新聞,3ヵ月,4年
大分,大分合同新聞,3ヵ月,4年
宮崎,宮崎日日新聞,3ヵ月,4年
鹿児島,南日本新聞,3ヵ月,4年
沖縄,琉球新報,3ヵ月,4年
沖縄,沖縄タイムス,3ヵ月,4年
