卒業年度,障害種別,卒業者計,進学者(%),専修学校等入学者(%),社会福祉施設入所者(%),就業者(%),在家庭(%),その他(%),,,,,,
13,視覚障害,22,54.5,13.6,22.7,-,9.1,-,,,,,,
13,聴覚障害,55,69.1,14.5,9.1,5.5,1.8,-,,,,,,
13,肢体不自由,171,1.2,1.8,92.4,0.6,4.1,-,,,,,,
13,知的障害,709,0.7,3.2,64.3,30.2,1.3,0.3,,,,,,
13,合計,957,6.0,3.9,65.2,22.8,2.0,0.2,,,,,,
14,視覚障害,25,44.0,16.0,28.0,4.0,8.0,-,,,,,,
14,聴覚障害,55,72.7,9.1,12.7,3.6,1.8,-,,,,,,
14,肢体不自由,187,1.6,3.2,89.8,0.5,3.7,1.1,,,,,,
14,知的障害,702,0.6,1.3,66.2,30.1,1.4,0.4,,,,,,
14,合計,969,6.0,2.5,66.8,22.2,2.1,0.5,,,,,,
15,視覚障害,21,33.3,14.3,52.4,-,-,-,,,,,,
15,聴覚障害,45,77.8,2.2,8.9,11.1,-,-,,,,,,
15,肢体不自由,158,1.9,1.9,84.2,1.9,5.7,4.4,,,,,,
15,知的障害,795,0.5,2.3,66.4,28.2,2.1,0.5,,,,,,
15,合計,1019,4.8,2.5,66.3,22.8,2.6,1.1,,,,,,
16,視覚障害,22,45.5,13.6,36.4,-,-,4.5,,,,,,
16,聴覚障害,39,64.1,7.7,10.3,10.3,5.1,2.6,,,,,,
16,肢体不自由,160,0.6,4.4,86.9,1.9,2.5,3.8,,,,,,
16,知的障害,785,0.1,1.7,66.0,30.2,1.7,0.4,,,,,,
16,合計,1006,3.7,2.6,66.5,24.3,1.9,1.1,,,,,,
17,視覚障害,16,25.0,18.8,37.5,6.3,6.3,6.3,,,,,,
17,聴覚障害,65,49.2,7.7,9.2,29.2,4.6,-,,,,,,
17,肢体不自由,164,2.4,2.4,82.3,2.4,4.3,6.1,,,,,,
17,知的障害,903,0.3,1.8,62.5,33.0,1.8,0.7,,,,,,
17,合計,1148,3.7,2.4,61.9,28.0,2.4,1.5,,,,,,
18,視覚障害,15,46.7,13.3,20.0,13.3,6.7,-,,,,,,
18,聴覚障害,35,37.1,5.7,14.3,28.6,11.4,2.9,,,,,,
18,肢体不自由,183,3.3,2.2,85.8,4.4,3.8,0.5,,,,,,
18,知的障害,955,-,1.7,64.2,32.3,1.8,0.1,,,,,,
18,合計,1188,2.2,2.0,65.5,27.6,2.4,0.3,,,,,,
19,視覚障害,25,32.0,12.0,32.0,8.0,8.0,8.0,,,,,,
19,聴覚障害,33,45.5,18.2,9.1,21.2,6.1,-,,,,,,
19,肢体不自由,181,1.1,2.8,85.6,2.8,7.7,-,,,,,,
19,知的障害,891,0.2,1.7,59.8,35.2,2.6,0.4,,,,,,
19,合計,1130,2.4,2.6,61.9,29.0,3.6,0.5,,,,,,
20,視覚障害,17,29.4,5.9,29.4,29.4,-,5.9,,,,,,
20,聴覚障害,32,65.6,3.1,-,21.9,6.3,3.1,,,,,,
20,肢体不自由,162,1.2,2.5,87.7,3.1,3.1,2.5,,,,,,
20,知的障害,918,-,0.9,56.8,40.1,2.2,0.1,,,,,,
20,合計,1129,2.5,1.2,59.2,34.1,2.4,0.6,,,,,,
21,視覚障害,18,27.8,11.1,38.9,11.1,11.1,-,,,,,,
21,聴覚障害,46,67.4,6.5,6.5,15.2,4.3,-,,,,,,
21,肢体不自由,186,3.2,2.7,87.6,-,6.5,-,,,,,,
21,知的障害,1137,-,1.5,55.8,39.8,2.8,0.1,,,,,,
21,合計,1387,3.0,1.9,58.2,33.3,3.5,0.1,,,,,,
