区市町村名,施設区分,施設名,所在地,緯度,経度,座標系,電話番号,備考
清瀬市,図書館,清瀬市立駅前図書館,清瀬市元町1-4-5クレア4階,35.773247,139.520493,JGD2011,042-492-8751,
清瀬市,図書館,清瀬市立下宿図書館,清瀬市下宿2-524-1下宿地域市民センター内,35.798779,139.534714,JGD2011,042-495-5432,
清瀬市,図書館,清瀬市立元町こども図書館,清瀬市元町1-6-6清瀬けやきホール内,35.774960,139.519180,JGD2011,042-495-8666,
清瀬市,図書館,清瀬市立竹丘図書館,清瀬市竹丘1-11-1竹丘地域市民センター内,35.765816,139.511505,JGD2011,042-495-1555,
清瀬市,図書館,清瀬市立中央図書館,清瀬市梅園1-1-21,35.773674,139.510666,JGD2011,042-493-4326,
清瀬市,図書館,清瀬市立野塩図書館,清瀬市野塩1-322-2野塩地域市民センター内,35.776138,139.499527,JGD2011,042-493-4086,
清瀬市,博物館,清瀬市郷土博物館,清瀬市上清戸2-6-41,35.780193,139.520142,JGD2011,042-493-8585,
清瀬市,女性/男女平等推進施設,清瀬市男女共同参画センター,清瀬市元町1-2-11アミュー4階,35.772114,139.520966,JGD2011,042-495-7002,
清瀬市,生涯学習センター,清瀬市生涯学習センター,清瀬市元町1-2-11アミュー5～7階,35.772114,139.520966,JGD2011,042-495-7001,
清瀬市,その他の施設,清瀬市立科山荘,長野県北佐久郡立科大字芦田八ヶ野字蓼科牧場西1068,36.270840,138.318283,JGD2011,0267-51-2300,宿泊
