部門,受講者数（実人員）,開設科目A定員350,開設科目B定員390,開設科目C定員350,開設科目D定員390,合計(延人数）,備考,,,,,
盲,152,34,42,34,42,152,,,,,,
ろう,170,42,42,42,44,170,,,,,,
養学（病・肢）,310,83,81,74,72,310,,,,,,
養学(1),622,145,180,151,146,622,,,,,,
養学(2),162,40,41,40,41,162,,,,,,
合計,1416,344,386,341,345,1416,,,,,,
,,,,,,,※認定講習の概要,,,,,
,,,,,,,東京都教育委員会は、毎年公立学校の夏期休業期間中、現職の教員等を対象に、盲学校、ろう学校、養護学校教諭普通免許状取得に必要な単位の修得（A、B各１単位、C、D各２単位、計６単位の修得が必要）と、教員等の資質向上を図ることを目的とした教員免許法に基づく認定講習を実施している。,,,,,
,,,,,,,※開設科目名について（「免許法施行規則に定める特殊教育科目」の区分、Ａ・Ｂは教育の基礎理論に関する科目）,,,,,
,,,,,,,Ａ：心身に障害のある幼児、児童又は生徒についての教育の理念並びに教育に関する歴史及び思想,,,,,
,,,,,,,Ｂ：心身に障害のある幼児、児童又は生徒についての教育に係る社会的、制度的又は経営的事項,,,,,
,,,,,,,Ｃ：心身に障害のある幼児、児童又は生徒の心理、生理及び病理に関する科目Ｄ：心身に障害のある幼児、児童又は生徒についての教育課程及び指導法に関する科目,,,,,
,,,,,,,※部門について,,,,,
,,,,,,,養学（病・肢）：病弱・肢体不自由養護学校の教員を対象とした部門養学(1)：都立養護学校、区立養護学校の教員を対象とした部門,,,,,
,,,,,,,養学(2)：区市町村立学校の心身障害学級担任、国立、私立養護学校教員を対象とした部門を対象とした部門,,,,,
