区市町村名,学校名,注）,科名,募集人員（男女問わず）,応募人員／男,応募人員／女,応募人員／計,合格人員／男,合格人員／女,合格人員／計
世田谷,園芸,,園芸,21,26,20,46,10,11,21
世田谷,園芸,,食品,10,5,26,31,1,9,10
世田谷,園芸,,動物,10,12,57,69,2,8,10
世田谷,園芸,,計,41,43,103,146,13,28,41
杉並,農芸,,園芸科学,10,8,17,25,3,7,10
杉並,農芸,,食品科学,21,16,45,61,4,17,21
杉並,農芸,,緑地環境,10,7,9,16,5,5,10
杉並,農芸,,計,41,31,71,102,12,29,41
葛飾,農産,※,園芸ﾃﾞｻﾞｲﾝ,21,23,30,53,5,16,21
葛飾,農産,※,食品,21,16,53,69,2,19,21
葛飾,農産,※,計,42,39,83,122,7,35,42
府中,農業,,都市園芸,10,11,13,24,6,4,10
府中,農業,,食品科学,10,7,14,21,3,7,10
府中,農業,,緑地計画,10,16,5,21,8,2,10
府中,農業,,計,30,34,32,66,17,13,30
瑞穂,瑞穂農芸,,園芸科学,10,8,6,14,5,5,10
瑞穂,瑞穂農芸,,畜産科学,10,7,23,30,3,7,10
瑞穂,瑞穂農芸,,食品,10,9,9,18,3,7,10
瑞穂,瑞穂農芸,,計,30,24,38,62,11,19,30
農業計,,,,184,171,327,498,60,124,184
注）※印の学校は文化・スポーツ等特別推薦の実施校であり、募集人員及び応募人員については、一般推薦と特別推薦の合計数である。合格人員については、一般推薦と文化・スポーツ等特別推薦の重複はない。,,,,,,,,,,
