,5そう思う永福,5そう思う青峰,4まあそう思う永福,4まあそう思う青峰,3あまり思わない永福,3あまり思わない青峰,2思わない永福,2思わない青峰,1どちらとも言えない永福,1どちらとも言えない青峰
1教員から積極的な働きかけ（指示・連絡）がある。,5,1,9,6,8,0,1,0,1,0
1教員から積極的な働きかけ（指示・連絡）がある。(%),20.8,14.3,37.5,85.7,33.3,0,4.2,0,4.2,0
1教員から積極的な働きかけ（指示・連絡）がある。(合算)(%),19.4,19.4,48.4,48.4,25.8,25.8,3.2,3.2,3.2,3.2
2教員と児童・生徒の情報を共有しようと努めている。,4,2,13,4,5,1,0,0,2,0
2教員と児童・生徒の情報を共有しようと努めている。(%),16.7,28.6,54.2,57.1,20.8,14.3,0,0,8.3,0
2教員と児童・生徒の情報を共有しようと努めている。(合算)(%),19.3,19.3,54.3,54.3,19.3,19.3,0,0,6.5,6.5
3教員と授業に関する情報を共有しようと努めている。,2,2,9,2,8,0,3,2,2,1
3教員と授業に関する情報を共有しようと努めている。(%),8.3,28.6,37.5,28.6,33.3,0,12.5,28.6,8.3,14.3
3教員と授業に関する情報を共有しようと努めている。(合算)(%),12.9,12.9,35.5,35.5,25.8,25.8,16.1,16.1,9.7,9.7
4教員との役割分担が明確になっている。,3,2,16,3,3,2,2,0,0,0
4教員との役割分担が明確になっている。(%),12.5,28.6,66.7,42.3,12.5,28.6,8.3,0,0,0
4教員との役割分担が明確になっている。(合算)(%),16.1,16.1,61.3,61.3,16.1,16.1,6.5,6.5,0,0
5児童・生徒の安全確保に向けて、教員との連携が図られている。,7,3,14,4,2,0,1,0,0,0
5児童・生徒の安全確保に向けて、教員との連携が図られている。(%),29.2,42.9,58.3,57.1,8.3,0,4.2,0,0,0
5児童・生徒の安全確保に向けて、教員との連携が図られている。(合算)(%),32.2,32.2,58.1,58.1,6.5,6.5,3.2,3.2,0,0
