区市町村名,学校名,科名・部,募集区分,募集人員（男女問わず）(A),応募人員(B)／男,応募人員(B)／女,応募人員(B)／計,取下げ人員(C)／男,取下げ人員(C)／女,取下げ人員(C)／計,再提出人員(D)／男,再提出人員(D)／女,再提出人員(D)／計,最終応募人員(E)／男,最終応募人員(E)／女,最終応募人員(E)／計,最終応募倍率(E/A)
千代田,一橋※,普通科１部,１学年相当,54,34,28,62,1,0,1,1,2,3,34,30,64,1.19
千代田,一橋※,普通科２部,１学年相当,54,51,34,85,3,0,3,1,0,1,49,34,83,1.54
千代田,一橋※,普通科３部,１学年相当,36,21,14,35,0,0,0,0,0,0,21,14,35,0.97
千代田,一橋※,計,１学年相当計,144,106,76,182,4,0,4,2,2,4,104,78,182,1.26
台東,浅草※,普通科１部,１学年相当,54,35,30,65,0,1,1,2,0,2,37,29,66,1.22
台東,浅草※,普通科２部,１学年相当,54,55,51,106,4,2,6,0,0,0,51,49,100,1.85
台東,浅草※,普通科３部,１学年相当,36,16,15,31,0,0,0,2,0,2,18,15,33,0.92
台東,浅草※,計,１学年相当計,144,106,96,202,4,3,7,4,0,4,106,93,199,1.38
杉並,荻窪※,普通科１部,１学年相当,54,30,35,65,0,0,0,1,0,1,31,35,66,1.22
杉並,荻窪※,普通科２部,１学年相当,55,60,26,86,2,0,2,0,0,0,58,26,84,1.53
杉並,荻窪※,普通科３部,１学年相当,36,16,10,26,0,0,0,1,0,1,17,10,27,0.75
杉並,荻窪※,計,１学年相当計,145,106,71,177,2,0,2,2,0,2,106,71,177,1.22
八王子,八王子拓真※,普通科１部,１学年相当,54,39,30,69,0,0,0,0,0,0,39,30,69,1.28
八王子,八王子拓真※,普通科２部,１学年相当,54,59,43,102,1,1,2,0,0,0,58,42,100,1.85
八王子,八王子拓真※,普通科３部,１学年相当,36,44,20,64,1,0,1,0,0,0,43,20,63,1.75
八王子,八王子拓真※,計,１学年相当計,144,142,93,235,2,1,3,0,0,0,140,92,232,1.61
立川,砂川※,普通科１～３部,１学年相当,31,45,23,68,1,0,1,0,0,0,44,23,67,2.16
定時制課程単位制計,,,,608,505,359,864,13,4,17,8,2,10,500,357,857,1.41
注）※は分割後期募集実施校,,,,,,,,,,,,,,,,,
(備考)  ※の分割後期募集実施校は、あらかじめ定員を分割し、分割前期募集（第一次募集期間）と分割後期募集（第二次募集期間）とに分けて募集を行う学校であり、表中の分割後期募集実施校の募集人員は、各校の当初設定人員に分割前期募集の未充足人員を加えたものである。,,,,,,,,,,,,,,,,,
