区市町村教育委員会,担当部署,連絡先
１千代田区教育委員会,日比谷図書文化館（文化財事務室）,03-3502-3348
２中央区教育委員会,図書文化財課（郷土天文館）,03-3546-5538
３港区教育委員会,図書・文化財課文化財係（港区立郷土歴史館）,03-6450-2869
４新宿区教育委員会,文化観光課文化資源係,03-5273-3563
５文京区教育委員会,教育総務課文化財保護係,03-5803-1305
６台東区教育委員会,生涯学習課文化財担当,03-5246-5852
７墨田区教育委員会,地域教育支援課文化財担当,03-5608-6310
８江東区教育委員会,文化観光課文化財係,03-3647-9819
９品川区教育委員会,庶務課文化財係,03-5742-6839
10目黒区教育委員会,生涯学習課文化財係,03-5722-9320
11大田区教育委員会,大田図書館文化財担当（郷土博物館内）,03-3777-1281
12世田谷区教育委員会,生涯学習・地域学校連携課文化財係,03-5432-2726
13渋谷区教育委員会,郷土博物館・文学館文化財担当,03-3486-2791
14中野区教育委員会,文化・スポーツ分野文化財担当,03-3228-8731
15杉並区教育委員会,生涯学習推進課文化財係,03-3312-2111
,,内線1667
16豊島区教育委員会,庶務課文化財グループ,03-3981-1190
17北区教育委員会,飛鳥山博物館事業係,03-3916-1815
18荒川区教育委員会,荒川ふるさと文化館,03-3807-9234
19板橋区教育委員会,生涯学習課文化財係,03-3579-2636
20練馬区教育委員会,文化・生涯学習課伝統文化係,03-5984-2442
21足立区教育委員会,地域文化課文化財係,03-3880-5111
,,内線3355
22葛飾区教育委員会,郷土と天文の博物館,03-3838-1101
23江戸川区教育委員会,教育推進課文化財係,03-5662-7176
24八王子市教育委員会,文化財課,042-620-7265
25立川市教育委員会,生涯学習推進センター文化財係,042-525-0860
,（立川市歴史民俗資料館）,
26武蔵野市教育委員会,生涯学習スポーツ課武蔵野ふるさと歴史館係,0422-53-1811
27三鷹市教育委員会,生涯学習課,0422-45-1151
,,内線2925
28青梅市教育委員会,文化課郷土博物館管理係,0428-23-6859
29府中市教育委員会,ふるさと文化財課調査係,042-335-4473
30昭島市教育委員会,社会教育課文化財担当,042-519-5717
,,内線2259
31調布市教育委員会,郷土博物館事業文化財係,042-481-7651
32町田市教育委員会,生涯学習総務課文化財係,042-724-2554
33小金井市教育委員会,生涯学習課文化財係,042-387-9879
34小平市教育委員会,文化スポーツ課文化財担当,042-346-9501
35日野市教育委員会,生涯学習課文化財係,042-514-8792
,,内線5321
36東村山市教育委員会,ふるさと歴史館文化財係,042-396-3800
37国分寺市教育委員会,ふるさと文化財課史跡係,042-300-0073
38国立市教育委員会,生涯学習課社会教育係,042-576-2111
,,内線323
39福生市教育委員会,生涯学習推進課文化財係,042-530-1120
40狛江市教育委員会,社会教育課文化財担当,03-3430-1342
,,内線2371
41東大和市教育委員会,社会教育課郷土博物館係,042-567-4800
42清瀬市教育委員会,郷土博物館事業係,042-493-8585
43東久留米市教育委員会,生涯学習課文化財係(郷土資料室),042-472-0051
44武蔵村山市教育委員会,文化振興課歴史民俗資料館グループ,042-560-6620
45多摩市教育委員会,教育振興課文化財担当係,042-375-8111
,,内線3123
46稲城市教育委員会,教育部生涯学習課,042-378-2111
,,内線732
47羽村市教育委員会,郷土博物館,042-558-2561
48あきる野市教育委員会,生涯学習推進課文化財係,042-596-4069
49西東京市教育委員会,社会教育課文化財係,042-420-2832
50瑞穂町教育委員会,瑞穂町郷土資料館,042-568-0634
51日の出町教育委員会,文化スポーツ課社会教育係,042-588-5794
52檜原村教育委員会,教育課社会教育係,042-598-1011
,,内線226
53奥多摩町教育委員会,教育課森林館係,0428-86-2731
54大島町教育委員会,教育文化課社会教育係,04992-2-1453
55利島村教育委員会,利島村郷土資料館,04992-9-0331
56新島村教育委員会,新島村博物館,04992-5-7070
57神津島村教育委員会,教育課社会教育係,04992-8-1222
,,内線29
58三宅村教育委員会,教育課社会教育係,04994-5-0952
59御蔵島村教育委員会,事務局,04994-8-2121
60八丈町教育委員会,教育課文化財担当,04996-2-7071
61青ヶ島村教育委員会,事務局,04996-9-0201
62小笠原村教育委員会,教育課社会教育係,04998-2-3117
