学校種別,盲,ろう,肢体不自由,知的障害,備考,,,,,,,,,,,
総数(人),177,429,1590,4539,,,,,,,,,,,,
主な副障害及び割合,知的障害44.1(％)(78),知的障害12.1(％)(52),知的障害75.0(％)(1193),肢体不自由6.1(％)(276),,,,,,,,,,,,
主な副障害及び割合,肢体不自由4.0(％)（７）,病弱0.7(％)（３）,肢体不自由3.6(％)(58),病弱1.2(％)(54),,,,,,,,,,,,
主な副障害及び割合,ろう0.6(％)（１）,肢体不自由1.6(％)（７）,病弱0.9(％)（15）,ろう0.9(％)(42),,,,,,,,,,,,
主な副障害及び割合,病弱0.0(％)（０）,盲0.0(％)（０）,盲0.4(％)（６）,盲0.3(％)(15),,,,,,,,,,,,
,,,,,１（）内の数値は、児童・生徒数。,,,,,,,,,,,
,,,,,２盲・ろう学校は、幼稚部及び専攻科を除く。,,,,,,,,,,,
,,,,,３養護学校は、施設内学級（分教室）及び訪問学級を除く。,,,,,,,,,,,
,,,,,４肢体不自由校の副障害肢体不自由は、主障害が知的障害である児童・生徒がいるため。,,,,,,,,,,,
,,,,,,,,,,,,,,,,
