区市町村名,学校名,科名,対象生徒,年度（平成）,募集人員(A)（男女問わず）,最終応募人員(B)／男,最終応募人員(B)／女,最終応募人員(B)／計,最終応募倍率(B/A),受検人員(C)／男,受検人員(C)／女,受検人員(C)／計,受検倍率(C/A),不受検人員(B-C)／男,不受検人員(B-C)／女,不受検人員(B-C)／計
江東,深川,普通科,引揚生徒,29,6,0,0,0,0.00,0,0,0,0.00,0,0,0
江東,深川,普通科,引揚生徒,28,6,0,1,1,0.17,0,1,1,0.17,0,0,0
練馬,光丘,普通科,引揚生徒,29,6,0,0,0,0.00,0,0,0,0.00,0,0,0
練馬,光丘,普通科,引揚生徒,28,6,1,0,1,0.17,1,0,1,0.17,0,0,0
足立,足立東,普通科,引揚生徒,29,6,0,0,0,0.00,0,0,0,0.00,0,0,0
足立,足立東,普通科,引揚生徒,28,6,0,0,0,0.00,0,0,0,0.00,0,0,0
八王子,富士森,普通科,引揚生徒,29,6,0,1,1,0.17,0,1,1,0.17,0,0,0
八王子,富士森,普通科,引揚生徒,28,6,0,0,0,0.00,0,0,0,0.00,0,0,0
合計,,,,29,24,0,1,1,0.04,0,1,1,0.04,0,0,0
合計,,,,28,24,1,1,2,0.08,1,1,2,0.08,0,0,0
