障害種別/学校区分,小学校学校数,小学校学級数,小学校在籍数,中学校学校数,中学校学級数,中学校在籍数,合計学校数,合計学級数,合計在籍数,,,,,,,
知的障害,251,460,2755,137,266,1613,388,726,4368,,,,,,,
肢体不自由,9,11,55,3,4,20,12,15,75,,,,,,,
病弱,5,5,5,2,2,1,7,7,6,,,,,,,
健康学園,9,35,190,,,,9,35,190,,,,,,,
情緒障害,13,16,88,5,5,19,18,21,107,,,,,,,
固定学級計,287,527,3093,147,277,1653,434,804,4746,,,,,,,
弱視,9,9,64,2,2,3,11,11,67,,,,,,,
難聴,40,40,268,12,12,88,52,52,356,,,,,,,
言語障害,53,106,1600,,,,53,106,1600,,,,,,,
情緒障害,62,132,988,33,44,288,95,176,1276,,,,,,,
通級学級計,164,287,2920,47,58,379,211,345,3299,,,,,,,
合計,451,814,6013,194,335,2032,645,1149,8045,,,,,,,
