ふだんの日の過ごし方,群,毎日している,よくしている,めったにしない,まったくしない,N（人）,平均点,検定
寝る時刻が夜中の12時を過ぎる,イライラ感高群,17.3,34.9,28.5,19.3,358,1.50,
寝る時刻が夜中の12時を過ぎる,イライラ感低群,7.7,18.1,34.5,40.7,221,0.93,
寝る時刻が夜中の12時を過ぎる,イライラ感高群／イライラ感低群,,,,,,,**
朝食をきちんと食べて学校へ行く,イライラ感高群,33.0,14.0,19.6,33.5,358,1.46,
朝食をきちんと食べて学校へ行く,イライラ感低群,69.4,19.6,6.0,5.0,219,2.54,
朝食をきちんと食べて学校へ行く,イライラ感高群／イライラ感低群,,,,,,,**
友だちに電話（携帯も含む）する,イライラ感高群,13.1,49.7,28.7,8.5,352,1.67,
友だちに電話（携帯も含む）する,イライラ感低群,3.7,28.9,47.3,20.1,218,1.06,
友だちに電話（携帯も含む）する,イライラ感高群／イライラ感低群,,,,,,,**
コンビニで友だちと話し込む,イライラ感高群,5.1,17.7,40.4,36.8,356,0.91,
コンビニで友だちと話し込む,イライラ感低群,0.9,3.2,32.4,63.5,222,0.37,
コンビニで友だちと話し込む,イライラ感高群／イライラ感低群,,,,,,,**
注）** 1%水準で有意差あり,,,,,,,,
