,,国語,社会,地理歴史,公民,算数,数学,理科,生活,音楽,図画工作,美術,保健体育,芸術,"技術
家庭",外国語,家庭,体育,道徳,外国語活動,情報,専門教科,"学校設定
教科",総合,特別活動,"各教科
を合わせた指導",その他
小学校,１学年,1267,,,,23,,,643,34,138,,,,,,,27,123,,,,,,227,,54
小学校,２学年,1268,,,,27,,,654,37,156,,,,,,,24,125,,,,,,217,,56
小学校,３学年,1272,863,,,30,,649,,40,187,,,,,,,31,119,,,,,1045,232,,62
小学校,４学年,1269,953,,,34,,635,,40,203,,,,,,,40,124,,,,,1086,260,,68
小学校,５学年,1261,980,,,34,,620,,48,220,,,,,,115,49,121,62,,,,1107,301,,75
小学校,６学年,1261,988,,,41,,622,,52,225,,,,,,120,50,123,63,,,,1100,298,,79
中学校,１学年,542,192,,,,25,74,,28,,116,55,,59,55,,,64,,,,,551,289,,70
中学校,２学年,536,198,,,,21,74,,29,,129,55,,55,57,,,67,,,,,556,289,,69
中学校,３学年,516,177,,,,23,73,,30,,124,54,,58,61,,,65,,,,,557,288,,69
高等学校(全日制),１学年,102,,28,12,,5,19,,,,,34,42,,20,16,,,,9,27,16,56,47,,
高等学校(全日制),２学年,101,,32,11,,4,18,,,,,52,40,,20,36,,,,5,29,22,69,52,,
高等学校(全日制),３学年,90,,31,28,,4,21,,,,,11,30,,24,38,,,,4,34,25,63,41,,
高等学校(全日制),４学年,2,,0,1,,0,0,,,,,0,0,,0,0,,,,0,0,0,1,1,,
高等学校(定時制・通信制),１学年,31,,4,4,,2,4,,,,,3,6,,3,1,,,,1,4,5,10,16,,
高等学校(定時制・通信制),２学年,32,,7,2,,1,2,,,,,4,4,,3,3,,,,1,5,7,19,15,,
高等学校(定時制・通信制),３学年,28,,8,2,,0,4,,,,,2,3,,2,7,,,,1,10,6,18,15,,
高等学校(定時制・通信制),４学年,31,,6,5,,1,2,,,,,2,2,,2,4,,,,1,11,7,19,16,,
特別支援学校小学部(視覚障害・聴覚障害・肢体不自由・病虚弱),１学年,25,,,,4,,,3,2,0,,,,,,,0,1,,,,,,10,21,9
特別支援学校小学部(視覚障害・聴覚障害・肢体不自由・病虚弱),２学年,26,,,,4,,,4,2,0,,,,,,,0,1,,,,,,9,21,9
特別支援学校小学部(視覚障害・聴覚障害・肢体不自由・病虚弱),３学年,28,6,,,5,,4,,3,1,,,,,,,0,3,,,,,11,9,23,9
特別支援学校小学部(視覚障害・聴覚障害・肢体不自由・病虚弱),４学年,30,6,,,4,,3,,2,1,,,,,,,0,1,,,,,11,9,20,8
特別支援学校小学部(視覚障害・聴覚障害・肢体不自由・病虚弱),５学年,30,7,,,4,,4,,2,1,,,,,,1,0,2,1,,,,13,10,22,8
特別支援学校小学部(視覚障害・聴覚障害・肢体不自由・病虚弱),６学年,28,6,,,5,,3,,2,1,,,,,,1,0,2,1,,,,12,10,21,8
特別支援学校中学部(視覚障害・聴覚障害・肢体不自由・病虚弱),１学年,30,5,,,,5,3,,1,,2,0,,0,0,,,3,,,,,15,12,20,9
特別支援学校中学部(視覚障害・聴覚障害・肢体不自由・病虚弱),２学年,33,6,,,,5,3,,1,,2,0,,1,1,,,4,,,,,15,12,20,9
特別支援学校中学部(視覚障害・聴覚障害・肢体不自由・病虚弱),３学年,32,5,,,,5,3,,1,,2,0,,0,0,,,3,,,,,16,13,21,9
特別支援学校高等部(視覚障害・聴覚障害・肢体不自由・病虚弱),１学年,35,,7,2,,3,3,,,,,1,5,,2,2,,,,4,2,2,20,17,23,
特別支援学校高等部(視覚障害・聴覚障害・肢体不自由・病虚弱),２学年,34,,8,2,,2,4,,,,,1,5,,2,2,,,,4,2,2,20,18,24,
特別支援学校高等部(視覚障害・聴覚障害・肢体不自由・病虚弱),３学年,35,,8,2,,3,4,,,,,1,5,,2,2,,,,4,2,3,20,19,23,
注）｢総合｣：総合的な学習の時間,,,,,,,,,,,,,,,,,,,,,,,,,,,
