区市町村名,学校名,学科名,募集人員／第２学年,募集人員／第３学年,募集人員／第４学年,受付期間,選抜日,発表日,昨年度第一学期補欠募集の実施状況／第２学年,昨年度第一学期補欠募集の実施状況／第３学年,昨年度第一学期補欠募集の実施状況／第４学年
江東,第三商業,商業科,11,14,12,"3/16,17",3/22,3/22,,,
足立,足立,商業科,15,15,21,"3/16,17",3/21,3/21,,,
足立,荒川商業,商業科,4,28,13,"3/16,17",3/21,3/21,,○,
葛飾,葛飾商業,商業科,8,20,17,"3/16,17",3/21,3/21,○,,
国立,第五商業,商業科,2,5,2,"3/23,24",3/28,3/28,,,
商業科計,,,40,82,65,,,,,,
注）「昨年度第一学期補欠募集の実施状況」欄では、昨年度の第一学期補欠募集を行った学校のうち、実際に検査を実施した（受検者がいた）学年に○印を付している。,,,,,,,,,,,
注）商業科の選抜は、次により行う。,,,,,,,,,,,
都立第三商業高校／国語・英語・専門教科・面接,,,,,,,,,,,
都立足立高校／作文・面接,,,,,,,,,,,
都立荒川商業高校／専門教科・面接,,,,,,,,,,,
都立葛飾商業高校／国語・数学・専門教科・面接又は国語・英語・専門教科・面接,,,,,,,,,,,
都立第五商業高校／専門教科・作文・面接,,,,,,,,,,,
