区市町村名,学校名,募集人員（男女問わず）(A),最終応募人員／男,最終応募人員／女,最終応募人員／計,受検人員(B)／男,受検人員(B)／女,受検人員(B)／計,受検倍率(B/A)
新宿,新宿,284,356,326,682,308,301,609,2.14
台東,忍岡,124,48,94,142,46,91,137,1.10
墨田,墨田川,252,173,168,341,165,166,331,1.31
大田,美原,188,107,104,211,106,102,208,1.11
世田谷,芦花,220,135,252,387,120,241,361,1.64
北,飛鳥,170,56,180,236,54,174,228,1.34
板橋,板橋有徳,188,108,126,234,101,124,225,1.20
練馬,大泉桜,188,50,196,246,48,196,244,1.30
八王子,翔陽,188,105,120,225,99,119,218,1.16
国分寺,国分寺,252,238,213,451,213,207,420,1.67
武蔵村山,上水,188,85,190,275,83,185,268,1.43
単位制計,,2242,1461,1969,3430,1343,1906,3249,1.45
