,,国語（件）,数学（件）,英語（件）,社会（件）,理科（件）,総計（件）
記号選択式問題,①正答を誤答として採点した,0,0,0,0,0,0
部分点のない記述式問題,①正答を誤答として採点した,1,0,－,0,－,1
部分点のない記述式問題,②誤答を正答として採点した,2,0,－,0,－,2
部分点のない記述式問題,③入力の誤り,0,0,－,0,－,0
部分点のある記述式問題,①誤答を正答として採点した,0,0,0,0,0,0
部分点のある記述式問題,②部分点を与えていなかった,1,0,0,0,0,1
部分点のある記述式問題,③誤って部分点を与えた,18,0,2,1,0,21
部分点のある記述式問題,④部分点の基準等が不統一,0,0,0,0,0,0
部分点のある記述式問題,⑤入力の誤り,0,0,0,0,0,0
総計,,22,0,2,1,0,25
誤字・脱字等の表記に関する誤りの状況（部分点のある記述式問題）,系統３に該当する誤り,19,0,0,1,0,20
注）ボーダーライン点検との関係：25件のうち､ボーダーライン点検対象者に該当するもの3件,,,,,,,
注）10校25件,,,,,,,
