区市町村名,学校名,科名,対象生徒,年度（平成）,募集人員（男女問わず）,最終応募人員／男,最終応募人員／女,最終応募人員／計,受検人員／男,受検人員／女,受検人員／計,合格人員／男,合格人員／女,合格人員／計
港,三田,普通科,"日本人学校出身者及び
外国の学校出身者",29,18,13,10,23,7,10,17,7,10,17
港,三田,普通科,"日本人学校出身者及び
外国の学校出身者",28,18,22,10,32,20,9,29,12,6,18
文京,竹早,普通科,"日本人学校出身者及び
外国の学校出身者",29,13,15,25,40,11,21,32,4,10,14
文京,竹早,普通科,"日本人学校出身者及び
外国の学校出身者",28,13,17,13,30,14,12,26,8,6,14
日野,日野台,普通科,"日本人学校出身者及び
外国の学校出身者",29,13,13,6,19,12,3,15,10,3,13
日野,日野台,普通科,"日本人学校出身者及び
外国の学校出身者",28,13,11,6,17,9,4,13,9,4,13
普通科計,,,,29,44,41,41,82,30,34,64,21,23,44
普通科計,,,,28,44,50,29,79,43,25,68,29,16,45
目黒,国際,国際,日本人学校出身者,29,15,9,29,38,7,24,31,3,14,17
目黒,国際,国際,日本人学校出身者,28,15,9,19,28,7,15,22,4,11,15
目黒,国際,国際,外国の学校出身者,29,25,24,32,56,18,27,45,11,15,26
目黒,国際,国際,外国の学校出身者,28,25,24,34,58,21,21,42,12,16,28
目黒,国際,国際,小計,29,40,33,61,94,25,51,76,14,29,43
目黒,国際,国際,小計,28,40,33,53,86,28,36,64,16,27,43
合計,,,,29,84,74,102,176,55,85,140,35,52,87
合計,,,,28,84,83,82,165,71,61,132,45,43,88
注）募集人員は９月募集を除いた数値である。,,,,,,,,,,,,,,
