区市町村名,学校名,募集区分,年度（平成）,募集人員(A)／男,募集人員(A)／女,募集人員(A)／計,受検人員(B)／男,受検人員(B)／女,受検人員(B)／計,受検倍率(B/A)／男,受検倍率(B/A)／女,受検倍率(B/A)／計
文京,小石川中等教育,一般枠募集,29,80,80,160,482,438,920,6.03,5.48,5.75
文京,小石川中等教育,一般枠募集,28,80,80,160,505,424,929,6.31,5.30,5.81
台東,白鴎高等学校附属,一般枠募集,29,78,73,151,378,536,914,4.85,7.34,6.05
台東,白鴎高等学校附属,一般枠募集,28,76,72,148,368,580,948,4.84,8.06,6.41
墨田,両国高等学校附属,一般枠募集,29,60,60,120,367,415,782,6.12,6.92,6.52
墨田,両国高等学校附属,一般枠募集,28,60,60,120,484,487,971,8.07,8.12,8.09
目黒,桜修館中等教育,一般枠募集,29,80,80,160,406,537,943,5.08,6.71,5.89
目黒,桜修館中等教育,一般枠募集,28,80,80,160,455,551,1006,5.69,6.89,6.29
中野,富士高等学校附属,一般枠募集,29,60,60,120,299,341,640,4.98,5.68,5.33
中野,富士高等学校附属,一般枠募集,28,60,60,120,284,285,569,4.73,4.75,4.74
練馬,大泉高等学校附属,一般枠募集,29,60,60,120,354,429,783,5.90,7.15,6.53
練馬,大泉高等学校附属,一般枠募集,28,60,60,120,368,471,839,6.13,7.85,6.99
八王子,南多摩中等教育,一般枠募集,29,80,80,160,350,422,772,4.38,5.28,4.83
八王子,南多摩中等教育,一般枠募集,28,80,80,160,387,489,876,4.84,6.11,5.48
立川,立川国際中等教育,一般枠募集,29,65,65,130,315,393,708,4.85,6.05,5.45
立川,立川国際中等教育,一般枠募集,28,65,65,130,279,422,701,4.29,6.49,5.39
武蔵野,武蔵高等学校附属,一般枠募集,29,60,60,120,261,237,498,4.35,3.95,4.15
武蔵野,武蔵高等学校附属,一般枠募集,28,60,60,120,306,258,564,5.10,4.30,4.70
三鷹,三鷹中等教育,一般枠募集,29,80,80,160,478,475,953,5.98,5.94,5.96
三鷹,三鷹中等教育,一般枠募集,28,80,80,160,512,527,1039,6.40,6.59,6.49
合計,,,29,703,698,1401,3690,4223,7913,5.25,6.05,5.65
合計,,,28,701,697,1398,3948,4494,8442,5.63,6.45,6.04
