区市町村名,学校名,学科名,募集人員／第１学年／区分１,募集人員／第１学年／区分２,募集人員／第２学年／区分１,募集人員／第２学年／区分２,募集人員／第３学年／区分１,募集人員／第３学年／区分２,受付期間,選抜日,発表日,昨年度第二学期補欠募集の実施状況／第１学年,昨年度第二学期補欠募集の実施状況／第２学年,昨年度第二学期補欠募集の実施状況／第３学年
世田谷,園芸,園芸科,1,1,,1,1,3,"8/2,3",8/4,8/4,○,,
世田谷,園芸,食品科,,,,,,3,"8/2,3",8/4,8/4,,,
世田谷,園芸,動物科,,,,,,1,"8/2,3",8/4,8/4,,,
杉並,農芸※,園芸科学科,,,,1,,2,"8/2,3",8/4,8/4,,,
杉並,農芸※,食品科学科,1,,,,1,2,"8/2,3",8/4,8/4,,,
杉並,農芸※,緑地環境科,,1,,,,1,"8/2,3",8/4,8/4,,,
葛飾,農産※,園芸ﾃﾞｻﾞｲﾝ科,,,1,2,,8,"8/8,9",8/10,8/10,○,,
葛飾,農産※,食品科,1,1,,4,1,9,"8/8,9",8/10,8/10,,,
府中,農業,都市園芸科,,1,,2,,2,"8/2,3",8/4,8/4,,,
府中,農業,食品科学科,,,,1,,,"8/2,3",8/4,8/4,,,
府中,農業,緑地計画科,1,,1,,1,1,"8/2,3",8/4,8/4,,,
瑞穂,瑞穂農芸,園芸科学科,,1,,,,5,"8/8,9",8/10,8/10,,,
瑞穂,瑞穂農芸,畜産科学科,1,,1,1,1,,"8/8,9",8/10,8/10,,,
瑞穂,瑞穂農芸,食品科,,,,1,,4,"8/8,9",8/10,8/10,,,
農業科計,,,5,5,3,13,5,41,,,,,,
注）募集区分／区分１：保護者の転勤等による都外からの一家転住者／区分２：一般,,,,,,,,,,,,,,
注）「昨年度第二学期補欠募集の実施状況」欄では、昨年度の第二学期補欠募集を行った学校のうち、実際に検査を実施した（受検者がいた）学年に○印を付している。,,,,,,,,,,,,,,
注）農業科の選抜は、国語・数学・英語の学力検査及び面接により行う。／ただし、※印を付した都立高校の以下に示す学年の選抜は、次により行う。,,,,,,,,,,,,,,
都立農芸高校／第１・２・３学年／国語・数学・英語・専門教科・面接,,,,,,,,,,,,,,
都立農産高校／第１・２・３学年／国語・数学・英語・専門教科・面接,,,,,,,,,,,,,,
