区市町村名,施設区分,施設名,所在地,緯度,経度,座標系,電話番号,備考
千代田区,その他の施設,＊?九段生涯学習館,千代田区九段南1-5-10,35.695164,139.752060,JGD2011,03-3234-2841,
千代田区,その他の施設,＊?スポーツセンター(7･8階生涯学習施設部分）,千代田区内神田2-1-8,35.689135,139.767584,JGD2011,03-3256-8444,
新宿区,その他の施設,＊?戸山生涯学習館,新宿区戸山2-11-101,35.701951,139.714195,JGD2011,03-3207-1181,
新宿区,その他の施設,＊?赤城生涯学習館,新宿区赤城元町1-3,35.704322,139.736335,JGD2011,03-3269-2400,
新宿区,その他の施設,＊?住吉町生涯学習館,新宿区住吉町13-3,35.694574,139.719843,JGD2011,03-3351-6566,
新宿区,その他の施設,＊?北新宿生涯学習館,新宿区北新宿3-20-2,35.702962,139.689461,JGD2011,03-3365-3541,
新宿区,その他の施設,＊?西戸山生涯学習館,新宿区百人町4-7-1,35.708950,139.695638,JGD2011,03-3368-3221,
新宿区,その他の施設,＊?新宿区立区民ギャラリー,新宿区西新宿2-11-4,35.691019,139.688613,JGD2011,03-3348-6277,
台東区,その他の施設,＊?台東区自然の村「あわ野山荘」,栃木県鹿沼市入粟野991,36.600821,139.552857,JGD2011,0289-86-7140,宿泊
台東区,その他の施設,＊?下町風俗資料館付設展示場?（旧吉田屋酒店）,台東区上野桜木2-10-6,35.721338,139.770924,JGD2011,03-3823-4408,
台東区,その他の施設,＊?旧東京音楽学校奏楽堂,台東区上野公園8-43,35.718064,139.773136,JGD2011,03-3824-1988,
台東区,その他の施設,＊?台東区立学習館,台東区西浅草3-25-16,35.717295,139.789901,JGD2011,03-5246-5812,
台東区,その他の施設,＊?浅草公会堂,台東区浅草1-38-6,35.712550,139.795293,JGD2011,03-3844-7491,
品川区,その他の施設,＊?こみゅにてぃぷらざ八潮（区民活動交流施設）,品川区八潮5-9-11,35.597916,139.752432,JGD2011,03-3799-2021,
目黒区,その他の施設,＊?視聴覚ライブラリー（めぐろ学校サポートセンター内）,目黒区中目黒3-6-10,35.639420,139.702855,JGD2011,03-3715-1531,
世田谷区,その他の施設,＊?次大夫堀公園民家園,世田谷区喜多見5-27-14,35.630669,139.599572,JGD2011,03-3417-8492,
世田谷区,その他の施設,＊?岡本公園民家園,世田谷区岡本2-19-1,35.622004,139.617962,JGD2011,03-3709-6959,
中野区,その他の施設,＊?中野区もみじ山文化センター,中野区中野2-9-7,35.704456,139.671765,JGD2011,03-5340-5000,
中野区,その他の施設,＊?中野区野方区民ホール,中野区野方5-3-1,35.718326,139.653388,JGD2011,03-3310-3861,
中野区,その他の施設,＊?なかの芸能小劇場,中野区中野5-68-7,35.709214,139.665287,JGD2011,03-5380-0931,
杉並区,その他の施設,＊?西田小生涯学習振興室（西田ゆうゆうハウス）,杉並区荻窪1-38-15,35.694729,139.622043,JGD2011,03-3220-9951,
杉並区,その他の施設,＊?杉九小生涯学習振興室（杉九ゆうゆうハウス）,杉並区本天沼1-2-19,35.713632,139.633072,JGD2011,03-3399-6521,
杉並区,その他の施設,＊?杉並区立西田小学校郷土資料展示室,杉並区荻窪1-38-15,35.694729,139.622043,JGD2011,03-3317-0841,
杉並区,その他の施設,＊?郷土博物館松ノ木遺跡竪穴住居址･復原住居,杉並区松ノ木1-3-22,35.685636,139.642062,JGD2011,03-3317-0841,
豊島区,その他の施設,＊?駒込地域文化創造館,豊島区駒込2-2-2,35.737238,139.747410,JGD2011,03-3940-2400,
豊島区,その他の施設,＊?巣鴨地域文化創造館,豊島区巣鴨4-15-11,35.737563,139.731769,JGD2011,03-3576-2637,
豊島区,その他の施設,＊?雑司が谷地域文化創造館,豊島区雑司が谷3-1-7,35.719723,139.713751,JGD2011,03-3590-1253,
豊島区,その他の施設,＊?南大塚地域文化創造館,豊島区南大塚2-36-1,35.728996,139.729568,JGD2011,03-3946-4301,
豊島区,その他の施設,＊?千早地域文化創造館,豊島区千早2-35-12,35.735275,139.688683,JGD2011,03-3974-1335,
豊島区,その他の施設,＊?雑司が谷旧宣教師館,豊島区雑司が谷1-25-5,35.720729,139.720601,JGD2011,03-3985-4081,
荒川区,その他の施設,＊?清里高原ロッジ,山梨県北杜市高根町清里3545-5,35.920668,138.442568,JGD2011,0551-48-2295,宿泊
荒川区,その他の施設,＊?町屋文化センター,荒川区荒川7-20-1,35.741973,139.781864,JGD2011,03-3802-7111,
荒川区,その他の施設,＊?ゆいの森あらかわ,荒川区荒川2-50-1,35.739490,139.783823,JGD2011,03-3891-4349,
板橋区,その他の施設,＊?郷土芸能伝承館,板橋区徳丸6-29-13,35.778365,139.660649,JGD2011,03-5398-4711,
板橋区,その他の施設,＊?成増アートギャラリー,板橋区成増3-13-1,35.778846,139.632360,JGD2011,03-3977-6061,
足立区,その他の施設,＊?西新井文化ホール(ｷﾞｬﾗｸｼﾃｨ内),足立区栗原1-3-1,35.779785,139.790513,JGD2011,03-5242-8161,
足立区,その他の施設,＊?足立区文化芸術劇場（THEATER?1010）,足立区千住3-92千住ミルディス(1)番館10階,35.750880,139.804575,JGD2011,03-5244-1010,
葛飾区,その他の施設,＊?亀有学び交流館（地域コミュニティ施設）,葛飾区お花茶屋3-5-6,35.756497,139.843131,JGD2011,03-3603-9211,
葛飾区,その他の施設,＊?水元学び交流館（地域コミュニティ施設）,葛飾区南水元2-13-1,35.779626,139.855621,JGD2011,03-3609-0223,
葛飾区,その他の施設,＊?柴又学び交流館（地域コミュニティ施設）,葛飾区柴又5-33-8,35.753715,139.881849,JGD2011,03-3671-8611,
葛飾区,その他の施設,＊?新小岩学び交流館（地域コミュニティ施設）,葛飾区西新小岩4-33-10,35.718649,139.853191,JGD2011,03-3696-4551,
八王子市,その他の施設,＊?八王子城跡ガイダンス施設,八王子市元八王子町3-2664-2,35.655875,139.261584,JGD2011,042-663-2800,
八王子市,その他の施設,＊?八王子市絹の道資料館,八王子市鑓水989-2,35.618365,139.354723,JGD2011,042-676-4064,
立川市,その他の施設,＊?柴崎学習館,立川市柴崎町1-1-43,35.696668,139.406788,JGD2011,042-524-2773,
立川市,その他の施設,＊?高松学習館,立川市高松町3-22-5,35.703007,139.419146,JGD2011,042-527-0014,
