,22,23,24,25,26
公立高校数(校),197,196,195,194,194
校内委員会の設置・開催設置あり(％),100.0,100.0,100.0,100.0,100.0
校内委員会の設置・開催開催回数0回(％),39.0,21.1,29.5,13.4,17.0
校内委員会の設置・開催開催回数1回(％),23.1,30.9,23.8,27.3,24.2
校内委員会の設置・開催開催回数2回(％),11.8,17.0,15.5,17.5,16.0
校内委員会の設置・開催開催回数3回(％),6.2,10.8,5.7,13.4,11.9
校内委員会の設置・開催開催回数4回以上(％),20.0,20.1,25.4,28.4,30.9
特別支援教育コーディネーターの指名指名あり(％),100.0,100.0,100.0,100.0,100.0
特別支援教育コーディネーターの指名人数1人(％),-,86.1,69.4,61.9,59.3
特別支援教育コーディネーターの指名人数2人(％),-,9.8,19.7,27.8,25.8
特別支援教育コーディネーターの指名人数3人以上(％),-,4.1,10.9,10.3,14.9
