区市町村名,学校名,学科名,募集人員／第１学年相当,募集人員／第２学年相当以上,受付期間,選抜日,発表日,昨年度第二学期補欠募集の実施状況／第１学年相当,昨年度第二学期補欠募集の実施状況／第２学年相当以上
千代田,一橋,普通科,89,,"8/23,24",8/25,8/25,○,
新宿,新宿山吹,普通科,5,5,"8/23,24",8/25,8/25,○,○
立川,砂川,普通科,36,206,"8/18,19",8/22,8/22,○,○
普通科計,,,130,211,,,,,
注）「昨年度第二学期補欠募集の実施状況」欄では、昨年度の第二学期補欠募集を行った学校のうち、実際に検査を実施した（受検者がいた）学年に○印を付している。,,,,,,,,,
注)通信制課程の選抜は、国語・数学・英語の学力検査により行う。／なお、各校の募集人員の内訳は、以下のとおりとする。,,,,,,,,,
都立一橋高校／第１学年相当（修得単位数１３単位以下）／89名,,,,,,,,,
都立新宿山吹高校／第１学年相当（修得単位数１８単位以下）／5名,,,,,,,,,
都立新宿山吹高校／第２学年相当以上（修得単位数１９単位以上）／5名,,,,,,,,,
都立砂川高校／第１学年相当（修得単位数１３単位以下）／36名,,,,,,,,,
都立砂川高校／第２学年相当以上（修得単位数１４単位以上）／206名,,,,,,,,,
