学年,好ましい関係,群,よくある,時々ある,ない,N（人）,平均点,検定
【小学生】,朝、「おはよう」と声をかけてくれる,イライラ感高群,41.9,27.1,31.0,129,1.07,
【小学生】,朝、「おはよう」と声をかけてくれる,イライラ感低群,77.5,11.2,11.2,89,1.66,
【小学生】,朝、「おはよう」と声をかけてくれる,イライラ感高群／イライラ感低群,,,,,,**
【小学生】,良いことをしたらほめてくれる,イライラ感高群,22.5,62.0,15.5,129,1.03,
【小学生】,良いことをしたらほめてくれる,イライラ感低群,45.6,48.9,5.6,90,1.40,
【小学生】,良いことをしたらほめてくれる,イライラ感高群／イライラ感低群,,,,,,**
【中学生】,朝、「おはよう」と声をかけてくれる,イライラ感高群,49.8,23.8,26.5,223,1.23,
【中学生】,朝、「おはよう」と声をかけてくれる,イライラ感低群,54.5,25.8,19.7,132,1.35,
【中学生】,朝、「おはよう」と声をかけてくれる,イライラ感高群／イライラ感低群,,,,,,
【中学生】,良いことをしたらほめてくれる,イライラ感高群,29.5,45.0,25.5,220,1.04,
【中学生】,良いことをしたらほめてくれる,イライラ感低群,29.3,51.1,19.5,133,1.09,
【中学生】,良いことをしたらほめてくれる,イライラ感高群／イライラ感低群,,,,,,
注）** 1%水準で有意差あり,,,,,,,,
