,,該当する（％）,該当しない（％）
ボランティアが図書の整理や貸出･返却業務など、学校図書館の運営に関する支援を行っている,合計,50.0,49.7
ボランティアが図書の整理や貸出･返却業務など、学校図書館の運営に関する支援を行っている,小学校,67.7,32.3
ボランティアが図書の整理や貸出･返却業務など、学校図書館の運営に関する支援を行っている,中学校,35.1,64.0
ボランティアが図書の整理や貸出･返却業務など、学校図書館の運営に関する支援を行っている,高校,2.1,97.9
ボランティアが学校図書館の書架見出し、飾りつけ、図書の修繕など、施設の整備に関する支援を行っている,合計,54.2,46.2
ボランティアが学校図書館の書架見出し、飾りつけ、図書の修繕など、施設の整備に関する支援を行っている,小学校,73.9,26.1
ボランティアが学校図書館の書架見出し、飾りつけ、図書の修繕など、施設の整備に関する支援を行っている,中学校,36.3,64.9
ボランティアが学校図書館の書架見出し、飾りつけ、図書の修繕など、施設の整備に関する支援を行っている,高校,3.9,96.1
ボランティアが読み聞かせやブックトークなどの読書活動の支援を行っている,合計,55.9,44.4
ボランティアが読み聞かせやブックトークなどの読書活動の支援を行っている,小学校,88.7,11.3
ボランティアが読み聞かせやブックトークなどの読書活動の支援を行っている,中学校,12.9,88.3
ボランティアが読み聞かせやブックトークなどの読書活動の支援を行っている,高校,3.5,96.5
ボランティアの資質向上のための取組を行っている,合計,46.1,53.9
ボランティアの資質向上のための取組を行っている,小学校,66.0,34.0
ボランティアの資質向上のための取組を行っている,中学校,25.0,75.0
ボランティアの資質向上のための取組を行っている,高校,2.1,97.9
