区市町村名,学校名,学科名,募集人員／第１学年相当,募集人員／第２学年相当以上,受付期間,選抜日,発表日,昨年度第二学期補欠募集の実施状況／第１学年相当,昨年度第二学期補欠募集の実施状況／第２学年相当以上
港,六本木,総合学科,10,68,"8/9,10",8/12,8/12,○,○
江東,大江戸,総合学科,10,82,"8/3,4",8/5,8/5,○,
世田谷,世田谷泉,総合学科,10,112,"8/3,4",8/5,8/8,○,○
中野,稔ヶ丘,総合学科,10,98,"8/9,10",8/12,8/12,○,○
北,桐ヶ丘,総合学科,10,106,"8/9,10",8/12,8/15,○,○
青梅,青梅総合※,総合学科,4,120,"8/18,19",8/22,8/22,○,○
東久留米,東久留米総合※,総合学科,5,81,"8/18,19",8/22,8/22,,
総合学科（単位制）計,,,59,667,,,,,
注）「昨年度第二学期補欠募集の実施状況」欄では、昨年度の第二学期補欠募集を行った学校のうち、実際に検査を実施した（受検者がいた）学年に○印を付している。,,,,,,,,,
"注）総合学科（単位制）の選抜は、作文、面接及び志願申告書により行う。
／ただし、※印を付した都立高校の選抜は、次により行う。",,,,,,,,,
都立青梅総合高校／国語・数学・英語・面接,,,,,,,,,
都立東久留米総合高校／国語・数学・英語・面接,,,,,,,,,
また、各校の募集人員の内訳は、以下のとおりとする。,,,,,,,,,
都立六本木高校／第１学年相当（修得単位数１８単位以下）／10 名,,,,,,,,,
都立六本木高校／第２学年相当（修得単位数１９単位以上３７単位以下）／4 名,,,,,,,,,
都立六本木高校／第３学年相当（修得単位数３８単位以上５６単位以下）／17 名,,,,,,,,,
都立六本木高校／第４学年相当（修得単位数５７単位以上）／47 名,,,,,,,,,
都立大江戸高校／第１学年相当（修得単位数１８単位以下）／10 名,,,,,,,,,
都立大江戸高校／第２学年相当（修得単位数１９単位以上３７単位以下）／4 名,,,,,,,,,
都立大江戸高校／第３学年相当（修得単位数３８単位以上５６単位以下）／4 名,,,,,,,,,
都立大江戸高校／第４学年相当（修得単位数５７単位以上）／74 名,,,,,,,,,
都立世田谷泉高校／第１学年相当（修得単位数１８単位以下）／10 名,,,,,,,,,
都立世田谷泉高校／第２学年相当（修得単位数１９単位以上３７単位以下）／8 名,,,,,,,,,
都立世田谷泉高校／第３学年相当（修得単位数３８単位以上５６単位以下）／26 名,,,,,,,,,
都立世田谷泉高校／第４学年相当（修得単位数５７単位以上）／78 名,,,,,,,,,
都立稔ヶ丘高校／第１学年相当（修得単位数１８単位以下）／10 名,,,,,,,,,
都立稔ヶ丘高校／第３学年相当（修得単位数３８単位以上５６単位以下）／16 名,,,,,,,,,
都立稔ヶ丘高校／第４学年相当（修得単位数５７単位以上）／82 名,,,,,,,,,
都立桐ヶ丘高校／第１学年相当（修得単位数１８単位以下）／10 名,,,,,,,,,
都立桐ヶ丘高校／第２学年相当（修得単位数１９単位以上３７単位以下）／6 名,,,,,,,,,
都立桐ヶ丘高校／第３学年相当（修得単位数３８単位以上５６単位以下）／23 名,,,,,,,,,
都立桐ヶ丘高校／第４学年相当（修得単位数５７単位以上）／77 名,,,,,,,,,
都立青梅総合高校／第１学年相当（修得単位数１８単位以下）／4 名,,,,,,,,,
都立青梅総合高校／第２学年相当（修得単位数１９単位以上３７単位以下）／31 名,,,,,,,,,
都立青梅総合高校／第３学年相当（修得単位数３８単位以上５６単位以下）／33 名,,,,,,,,,
都立青梅総合高校／第４学年相当（修得単位数５７単位以上）／56 名,,,,,,,,,
都立東久留米総合高校／第１学年相当（修得単位数１８単位以下）／5 名,,,,,,,,,
都立東久留米総合高校／第２学年相当（修得単位数１９単位以上３７単位以下）／13 名,,,,,,,,,
"都立東久留米総合高校／第３学年相当（修得単位数３８単位以上５６単位以下）
／22 名
",,,,,,,,,
都立東久留米総合高校／第４学年相当（修得単位数５７単位以上）／46 名,,,,,,,,,
