区市町村名,学校名,科名,対象生徒,年度（平成）,募集人員(A)（男女問わず）,最終応募人員(B)／男,最終応募人員(B)／女,最終応募人員(B)／計,最終応募倍率(B/A),受検人員(C)／男,受検人員(C)／女,受検人員(C)／計,受検倍率(C/A),不受検人員(B-C)／男,不受検人員(B-C)／女,不受検人員(B-C)／計
港,三田,普通科,"日本人学校出身者及び
外国の学校出身者",29,18,13,10,23,1.28,7,10,17,0.94,6,0,6
港,三田,普通科,"日本人学校出身者及び
外国の学校出身者",28,18,22,10,32,1.78,20,9,29,1.61,2,1,3
文京,竹早,普通科,"日本人学校出身者及び
外国の学校出身者",29,13,15,25,40,3.08,11,21,32,2.46,4,4,8
文京,竹早,普通科,"日本人学校出身者及び
外国の学校出身者",28,13,17,13,30,2.31,14,12,26,2.00,3,1,4
日野,日野台,普通科,"日本人学校出身者及び
外国の学校出身者",29,13,13,6,19,1.46,12,3,15,1.15,1,3,4
日野,日野台,普通科,"日本人学校出身者及び
外国の学校出身者",28,13,11,6,17,1.31,9,4,13,1.00,2,2,4
普通科計,,,,29,44,41,41,82,1.86,30,34,64,1.45,11,7,18
普通科計,,,,28,44,50,29,79,1.80,43,25,68,1.55,7,4,11
目黒,国際,国際,日本人学校出身者,29,15,9,29,38,2.53,7,24,31,2.07,2,5,7
目黒,国際,国際,日本人学校出身者,28,15,9,19,28,1.87,7,15,22,1.47,2,4,6
目黒,国際,国際,外国の学校出身者,29,25,24,32,56,2.24,18,27,45,1.80,6,5,11
目黒,国際,国際,外国の学校出身者,28,25,24,34,58,2.32,21,21,42,1.68,3,13,16
目黒,国際,国際,小計,29,40,33,61,94,2.35,25,51,76,1.90,8,10,18
目黒,国際,国際,小計,28,40,33,53,86,2.15,28,36,64,1.60,5,17,22
合計,,,,29,84,74,102,176,2.10,55,85,140,1.67,19,17,36
合計,,,,28,84,83,82,165,1.96,71,61,132,1.57,12,21,33
注）募集人員は９月募集を除いた数値である。,,,,,,,,,,,,,,,,
