部門,受講者数,開設科目Ａ定員75,開設科目Ｂ定員75,開設科目Ｃ定員40,開設科目Ｄ定員40,合計,備考,,,,,,,,,,,,,,,
盲,64,31,32,29,23,115,,,,,,,,,,,,,,,,
ろう,77,33,34,47,40,154,,,,,,,,,,,,,,,,
養学（病・肢）,93,44,48,44,45,181,,,,,,,,,,,,,,,,
養学(1),184,89,88,81,91,349,,,,,,,,,,,,,,,,
養学(2),100,48,48,48,48,192,,,,,,,,,,,,,,,,
合計,518,245,250,249,247,991,,,,,,,,,,,,,,,,
,,,,,,,※開設科目名について（「免許法施行規則に定める特殊教育科目」の区分、Ａ・Ｂは教育の基礎理論に関する科目）,,,,,,,,,,,,,,,
,,,,,,,Ａ：心身障害教育に障害のある幼児、児童又は生徒についての教育の理念並びに教育に関する歴史及び思想,,,,,,,,,,,,,,,
,,,,,,,Ｂ：心身障害教育に障害のある幼児、児童又は生徒についての教育に係る社会的、制度的又は経営的事項,,,,,,,,,,,,,,,
,,,,,,,Ｃ：心身障害教育に障害のある幼児、児童又は生徒の心理、生理及び病理に関する科目,,,,,,,,,,,,,,,
,,,,,,,Ｄ：心身障害教育に障害のある幼児、児童又は生徒についての教育課程及び指導法に関する科目,,,,,,,,,,,,,,,
,,,,,,,※部門について,,,,,,,,,,,,,,,
,,,,,,,養学（病・肢）：病弱・肢体不自由養護学校の教員を対象とした部門,,,,,,,,,,,,,,,
,,,,,,,養学(1)：都立養護学校、区立養護学校の教員を対象とした部門,,,,,,,,,,,,,,,
,,,,,,,養学(2)：区市町村立学校の心身障害学級担任、国立、私立養護学校教員を対象とした部門を対象とした部門,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
