学科等,,年度（平成）,募集人員（Ａ）,最終応募人員（Ｂ)／男,最終応募人員（Ｂ)／女,最終応募人員（Ｂ)／計,受検人員（Ｃ）／男,受検人員（Ｃ）／女,受検人員（Ｃ）／計,受検倍率（C/A）,合格人員（Ｄ）／男,合格人員（Ｄ）／女,合格人員（Ｄ）／計,入学手続人員（Ｅ）／男,入学手続人員（Ｅ）／女,入学手続人員（Ｅ）／計
推薦,普通科,29,6279,9102,11374,20476,9088,11360,20448,3.26,3035,3244,6279,3034,3244,6278
推薦,普通科,28,6306,9347,11605,20952,9330,11595,20925,3.32,3072,3234,6306,3072,3234,6306
推薦,専門教育を主とする学科,29,2067,2419,2516,4935,2416,2515,4931,2.39,1028,1039,2067,1028,1039,2067
推薦,専門教育を主とする学科,28,2067,2311,2397,4708,2307,2397,4704,2.28,1055,1012,2067,1055,1012,2067
推薦,総合学科,29,732,546,1317,1863,545,1316,1861,2.54,155,577,732,155,577,732
推薦,総合学科,28,732,610,1344,1954,608,1344,1952,2.67,155,577,732,155,577,732
推薦,小計,29,9078,12067,15207,27274,12049,15191,27240,3.00,4218,4860,9078,4217,4860,9077
推薦,小計,28,9105,12268,15346,27614,12245,15336,27581,3.03,4282,4823,9105,4282,4823,9105
第一次募集及び分割前期募集,普通科,29,25008,19727,19108,38835,18304,18401,36705,1.47,12534,12579,25113,12452,12545,24997
第一次募集及び分割前期募集,普通科,28,24940,19635,19375,39010,18174,18632,36806,1.48,12493,12603,25096,12419,12559,24978
第一次募集及び分割前期募集,専門教育を主とする学科,29,5493,4252,3082,7334,4040,2993,7033,1.28,3230,2254,5484,3203,2243,5446
第一次募集及び分割前期募集,専門教育を主とする学科,28,5493,4140,3009,7149,3939,2898,6837,1.24,3249,2236,5485,3219,2225,5444
第一次募集及び分割前期募集,総合学科,29,1668,887,1449,2336,841,1416,2257,1.35,637,1053,1690,634,1050,1684
第一次募集及び分割前期募集,総合学科,28,1668,940,1355,2295,903,1331,2234,1.34,682,1009,1691,680,1007,1687
第一次募集及び分割前期募集,小計,29,32169,24866,23639,48505,23185,22810,45995,1.43,16401,15886,32287,16289,15838,32127
第一次募集及び分割前期募集,小計,28,32101,24715,23739,48454,23016,22861,45877,1.43,16424,15848,32272,16318,15791,32109
分割後期募集及び第二次募集・第三次募集,普通科,29,949,748,540,1288,727,527,1254,1.32,398,379,777,393,375,768
分割後期募集及び第二次募集・第三次募集,普通科,28,1035,671,597,1268,659,591,1250,1.21,401,460,861,399,459,858
分割後期募集及び第二次募集・第三次募集,専門教育を主とする学科,29,189,121,34,155,117,33,150,0.79,79,30,109,79,30,109
分割後期募集及び第二次募集・第三次募集,専門教育を主とする学科,28,195,157,24,181,154,23,177,0.91,98,17,115,98,17,115
分割後期募集及び第二次募集・第三次募集,総合学科,29,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
分割後期募集及び第二次募集・第三次募集,総合学科,28,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
分割後期募集及び第二次募集・第三次募集,小計,29,1138,869,574,1443,844,560,1404,1.23,477,409,886,472,405,877
分割後期募集及び第二次募集・第三次募集,小計,28,1230,828,621,1449,813,614,1427,1.16,499,477,976,497,476,973
推薦、第一次募集・分割前期募集、分割後期募集・第二次募集・第三次募集計,,29,42007,37802,39420,77222,36078,38561,74639,1.78,21096,21155,42251,20978,21103,42081
推薦、第一次募集・分割前期募集、分割後期募集・第二次募集・第三次募集計,,28,42050,37811,39706,77517,36074,38811,74885,1.78,21205,21148,42353,21097,21090,42187
４月募集,普通科,29,148,3,9,12,3,9,12,0.08,3,7,10,3,7,10
４月募集,普通科,28,148,4,6,10,4,6,10,0.07,4,6,10,4,6,10
４月募集,専門教育を主とする学科,29,41,1,1,2,1,1,2,0.05,1,1,2,1,1,2
４月募集,専門教育を主とする学科,28,41,1,1,2,1,1,2,0.05,1,1,2,1,1,2
４月募集,総合学科,29,20,0,0,0,0,0,0,0.00,0,0,0,0,0,0
４月募集,総合学科,28,20,0,0,0,0,0,0,0.00,0,0,0,0,0,0
４月募集,小計,29,209,4,10,14,4,10,14,0.07,4,8,12,4,8,12
４月募集,小計,28,209,5,7,12,5,7,12,0.06,5,7,12,5,7,12
総計,,29,42216,37806,39430,77236,36082,38571,74653,1.77,21100,21163,42263,20982,21111,42093
総計,,28,42259,37816,39713,77529,36079,38818,74897,1.77,21210,21155,42365,21102,21097,42199
注）充足率（E/A×100）：平成29年100.18%、平成28年度100.33%,,,,,,,,,,,,,,,,
注）４月募集は含まない。,,,,,,,,,,,,,,,,
注1）募集人員は転勤者生徒特別枠、転入学者特別枠、在京外国人生徒対象並びに海外帰国生徒対象（現地校出身者）の９月募集及び国際バカロレアコースの９月募集を除いた数である。,,,,,,,,,,,,,,,,
注2）募集人員の総計欄は平成２８年１０月に決定された募集人員であるため、推薦、第一次募集・分割前期募集、分割後期募集・第二次募集の募集人員の合計とは一致しない。,,,,,,,,,,,,,,,,
注3）第一次募集の数は、普通科は、島しょ、コース制、単位制の高校、連携型入学者選抜、在京外国人生徒対象及び海外帰国生徒対象（帰国及び引揚）、専門教育を主とする学科は、連携型入学者選抜、在京外国人生徒対象、海外帰国生徒対象（帰国）及び国際バカロレアコースを含んだ数である。,,,,,,,,,,,,,,,,
