区市町村名,学校名,注）,科名,募集人員（男女問わず）,応募人員／男,応募人員／女,応募人員／計,合格人員／男,合格人員／女,合格人員／計
中央,晴海総合,※,総合,84,38,196,234,8,76,84
大田,つばさ総合,※,総合,72,92,107,199,19,53,72
世田谷,世田谷総合,※,総合,72,33,117,150,11,61,72
杉並,杉並総合,※,総合,72,42,199,241,6,66,72
北,王子総合,※,総合,72,72,135,207,17,55,72
葛飾,葛飾総合,,総合,72,43,116,159,12,60,72
青梅,青梅総合,※,総合,72,61,127,188,19,53,72
町田,町田総合,※,総合,72,40,103,143,15,57,72
東久留米,東久留米総合,,総合,72,72,69,141,33,39,72
稲城,若葉総合,※,総合,72,53,148,201,15,57,72
総合計,,,,732,546,1317,1863,155,577,732
注）※印の学校は文化・スポーツ等特別推薦の実施校であり、募集人員及び応募人員については、一般推薦と特別推薦の合計数である。合格人員については、一般推薦と文化・スポーツ等特別推薦の重複はない。,,,,,,,,,,
