,,該当する（％）,該当しない（％）
学校経営方針（計画）に読書活動の推進が位置付けられている,合計,92.9,7.4
学校経営方針（計画）に読書活動の推進が位置付けられている,小学校,96.2,3.7
学校経営方針（計画）に読書活動の推進が位置付けられている,中学校,90.9,10.1
学校経営方針（計画）に読書活動の推進が位置付けられている,高校,82.1,17.9
学校経営方針（計画）に学校図書館活用の推進が位置付けられている,合計,85.9,13.9
学校経営方針（計画）に学校図書館活用の推進が位置付けられている,小学校,92.5,7.5
学校経営方針（計画）に学校図書館活用の推進が位置付けられている,中学校,79.2,20.2
学校経営方針（計画）に学校図書館活用の推進が位置付けられている,高校,70.5,29.5
学校全体としての読書活動推進のための指導計画がある,合計,78.7,21.6
学校全体としての読書活動推進のための指導計画がある,小学校,87.0,13.0
学校全体としての読書活動推進のための指導計画がある,中学校,75.9,25.3
学校全体としての読書活動推進のための指導計画がある,高校,46.3,53.7
学校全体としての学校図書館経営計画がある,合計,73.7,26.5
学校全体としての学校図書館経営計画がある,小学校,78.3,21.6
学校全体としての学校図書館経営計画がある,中学校,66.0,35.2
学校全体としての学校図書館経営計画がある,高校,70.2,29.1
読書活動や学校図書館活用を推進する校内分掌組織がある,合計,96.5,3.8
読書活動や学校図書館活用を推進する校内分掌組織がある,小学校,98.7,1.3
読書活動や学校図書館活用を推進する校内分掌組織がある,中学校,97.3,3.7
読書活動や学校図書館活用を推進する校内分掌組織がある,高校,84.2,15.8
教員の読書に関する指導力向上や学校図書館活用の推進のための校内研修を実施（企画）している,合計,29.7,70.6
教員の読書に関する指導力向上や学校図書館活用の推進のための校内研修を実施（企画）している,小学校,39.3,60.7
教員の読書に関する指導力向上や学校図書館活用の推進のための校内研修を実施（企画）している,中学校,18.6,82.6
教員の読書に関する指導力向上や学校図書館活用の推進のための校内研修を実施（企画）している,高校,10.5,89.1
学校評価において読書活動推進や学校図書館活用の推進に関する項目を挙げ、評価を,合計,66.9,33.4
学校評価において読書活動推進や学校図書館活用の推進に関する項目を挙げ、評価を,小学校,73.1,26.9
学校評価において読書活動推進や学校図書館活用の推進に関する項目を挙げ、評価を,中学校,67.3,33.9
学校評価において読書活動推進や学校図書館活用の推進に関する項目を挙げ、評価を,高校,36.5,62.8
4～8の実施にあたり、司書教諭が中心的な役割を担っている,合計,68.6,31.8
4～8の実施にあたり、司書教諭が中心的な役割を担っている,小学校,74.9,25.1
4～8の実施にあたり、司書教諭が中心的な役割を担っている,中学校,62.4,38.8
4～8の実施にあたり、司書教諭が中心的な役割を担っている,高校,53.7,46.3
夏季休業期間を「読書月間」として位置付けている,合計,32.3,68.1
夏季休業期間を「読書月間」として位置付けている,小学校,22.5,77.5
夏季休業期間を「読書月間」として位置付けている,中学校,32.2,69.2
夏季休業期間を「読書月間」として位置付けている,高校,78.6,21.1
夏季休業期間に「課題図書」を設定している,合計,49.7,50.6
夏季休業期間に「課題図書」を設定している,小学校,51.0,49.0
夏季休業期間に「課題図書」を設定している,中学校,49.6,51.6
夏季休業期間に「課題図書」を設定している,高校,43.9,55.8
