区分,学校数(区分合計)(校),学部,学級数,在籍者数,備考
盲学校,4,幼稚部,9,24,
盲学校,4,小学部,24,61,
盲学校,4,中学部,12,42,
盲学校,4,高等部,31,141,
盲学校,4,小計,76,268,
ろう学校,8,幼稚部,27,107,
ろう学校,8,小学部,51,178,
ろう学校,8,中学部,32,114,
ろう学校,8,高等部,41,215,
ろう学校,8,小計,151,614,
養護学校肢体不自由養護学校,14,小学部,280,898,
養護学校肢体不自由養護学校,14,中学部,152,488,
養護学校肢体不自由養護学校,14,高等部,154,536,
養護学校肢体不自由養護学校,14,小計,586,1922,
養護学校知的障害養護学校,30,小学部,352,1306,
養護学校知的障害養護学校,30,中学部,251,960,
養護学校知的障害養護学校,30,高等部,388,2321,
養護学校知的障害養護学校,30,小計,991,4587,
養護学校病弱養護学校,2,小学部,11,35,
養護学校病弱養護学校,2,中学部,11,47,
養護学校病弱養護学校,2,小計,22,82,
合計,58,-,1826,7473,
,,,,,※知・肢併置校が2校あるため、実学校数は５６校
