区市町村名,学校名,学科名,募集人員／第１学年,募集人員／第２学年,募集人員／第３学年,募集人員／第４学年,受付期間,選抜日,発表日,昨年度第二学期補欠募集の実施状況／第１学年,昨年度第二学期補欠募集の実施状況／第２学年,昨年度第二学期補欠募集の実施状況／第３学年,昨年度第二学期補欠募集の実施状況／第４学年
品川,大崎,普通科,13,9,12,6,"8/24,25",8/26,8/26,○,,,
品川,小山台※,普通科,38,29,15,16,"8/23,24",8/25,8/25,○,○,○,○
大田,大森※,普通科,38,9,10,33,"8/24,25",8/26,8/26,,○,,
大田,雪谷,普通科,24,22,19,15,"8/22,23",8/24,8/24,○,,,○
世田谷,桜町,普通科,22,14,21,25,"8/25,26",8/29,8/29,,○,,
世田谷,松原,普通科,18,12,15,8,"8/22,23",8/25,8/25,○,,,
豊島,豊島,普通科,17,24,29,24,"8/19,22",8/23,8/23,,,,
板橋,大山,普通科,31,17,26,31,"8/26,29",8/30,8/30,,,,
足立,足立※,普通科,7,31,9,33,"8/19,22",8/23,8/23,○,,,
足立,江北,普通科,27,30,14,10,"8/23,24",8/25,8/25,,○,,
葛飾,南葛飾※,普通科,38,9,,36,"8/25,26",8/29,8/29,○,○,,○
葛飾,葛飾商業,普通科,17,22,13,13,"8/18,19",8/22,8/22,,,,
江戸川,江戸川,普通科,3,14,16,16,"8/25,26",8/29,8/29,,○,○,
江戸川,葛西南,普通科,17,2,26,27,"8/22,23",8/24,8/24,○,○,,
立川,立川,普通科,20,1,24,29,"8/25,26",8/29,8/29,,○,,
府中,農業,普通科,59,19,22,45,"8/18,19",8/22,8/22,○,,,
調布,神代,普通科,33,8,12,34,"8/23,24",8/25,8/25,○,○,,
町田,町田,普通科,43,22,29,19,"8/18,19",8/22,8/22,○,,,
福生,福生※,普通科,31,13,24,19,"8/18,19",8/22,8/22,,,,○
大島,大島※,普通科,28,28,26,28,"8/26,29",8/30,8/30,,,,
八丈,八丈※,普通科,26,26,29,30,"8/24,25",8/26,8/26,,,,
普通科計,,,550,361,391,497,,,,,,,
注）「昨年度第二学期補欠募集の実施状況」欄では、昨年度の第二学期補欠募集を行った学校のうち、実際に検査を実施した（受検者がいた）学年に○印を付している。,,,,,,,,,,,,,
注）普通科の選抜は、国語・数学・英語の学力検査及び面接により行う。／ただし、※印を付した都立高校の選抜は、次により行う。,,,,,,,,,,,,,
都立小山台高校／作文・面接,,,,,,,,,,,,,
都立大森高校／作文・面接,,,,,,,,,,,,,
都立足立高校／作文・面接,,,,,,,,,,,,,
都立南葛飾高校／作文・面接,,,,,,,,,,,,,
都立福生高校／作文・面接,,,,,,,,,,,,,
都立大島高校／作文・面接,,,,,,,,,,,,,
都立八丈高校／作文・面接,,,,,,,,,,,,,
