家の人とのことについて,群,よくある,時々ある,ない,N（人）,平均点,検定
家の中でけんかをする,イライラ感高群,38.6,39.9,21.7,350,1.17,
家の中でけんかをする,イライラ感低群,6.3,34.7,59,222,0.47,
家の中でけんかをする,イライラ感高群／イライラ感低群,,,,,,**
他の子と比べる,イライラ感高群,39,24.9,36.1,349,1.05,
他の子と比べる,イライラ感低群,13.1,23,63.5,222,0.49,
他の子と比べる,イライラ感高群／イライラ感低群,,,,,,**
何から何まで勝手に決める,イライラ感高群,11.1,42.9,46,350,0.65,
何から何まで勝手に決める,イライラ感低群,2.7,12.6,84.7,222,0.18,
何から何まで勝手に決める,イライラ感高群／イライラ感低群,,,,,,**
暴力を振るう,イライラ感高群,15,31.2,53.8,353,0.6,
暴力を振るう,イライラ感低群,1.8,12.2,86,221,0.16,
暴力を振るう,イライラ感高群／イライラ感低群,,,,,,**
注）** 1%水準で有意差あり,,,,,,,
