"回","順位","特に重点的に取り組むべきだと思う政策","合計比率[%]"
"第28回（平成23年7月）実施","第1位","安全で安心して暮らせる都心をつくる","52.3"
"第28回（平成23年7月）実施","第2位","高齢者や障害者等のゆたかで自立した地域での生活を支援する","35.8"
"第28回（平成23年7月）実施","第3位","区民が健やかで安全に暮らすことができるよう努める","33.7"
"第28回（平成23年7月）実施","第4位","緑や水辺を保全・創造し、人や生物にやさしい都市環境をつくる","33.7"
"第28回（平成23年7月）実施","第5位","健やかな子どもの「育ち」を支える環境を整備する","30.5"
"第28回（平成23年7月）実施","第6位","多様な人びとがいきいきと暮らせる都市ルールを確立する","21.6"
"第28回（平成23年7月）実施","第7位","魅力的な都心生活の舞台をつくる","21.4"
"第28回（平成23年7月）実施","第8位","循環型社会の構築による活力ある都心作りを進める","19.2"
"第28回（平成23年7月）実施","第9位","世界に開かれた先駆的で活力あるまちの基礎を整備する","17.9"
"第28回（平成23年7月）実施","第10位","自動車への依存を減らし、環境負荷の少ない都心づくりを進める","17.4"
"第29回（平成25年11月）実施","第1位","安全で安心して暮らせる都心をつくる","55.8"
"第29回（平成25年11月）実施","第2位","緑や水辺を保全・創造し、人や生物にやさしい都市環境をつくる","35.9"
"第29回（平成25年11月）実施","第3位","区民が健やかで安全に暮らすことができるよう努める","31.8"
"第29回（平成25年11月）実施","第4位","高齢者や障害者等のゆたかで自立した地域での生活を支援する","28.8"
"第29回（平成25年11月）実施","第5位","健やかな子どもの「育ち」を支える環境を整備する","27.6"
"第29回（平成25年11月）実施","第6位","世界に開かれた先駆的で活力あるまちの基盤を整備する","20.6"
"第29回（平成25年11月）実施","第7位","多様な人びとがいきいきと暮らせる都市ルールを確立する","20.4"
"第29回（平成25年11月）実施","第8位","魅力的な都心生活の舞台をつくる","18.8"
"第29回（平成25年11月）実施","第9位","港区の特性を生かした個性ある商業集積の形成を支援する","18.7"
"第29回（平成25年11月）実施","第10位","世界に発信できる国際性豊かな文化活動を支援する","18.3"
"第30回（平成27年11月）実施","第1位","高齢者福祉","36.0"
"第30回（平成27年11月）実施","第2位","自転車対策","28.7"
"第30回（平成27年11月）実施","第3位","防災","25.9"
"第30回（平成27年11月）実施","第4位","子育て支援","25.0"
"第30回（平成27年11月）実施","第5位","たばこ対策","21.2"
"第30回（平成27年11月）実施","第6位","街づくり","20.0"
"第30回（平成27年11月）実施","第7位","生活安全","19.2"
"第30回（平成27年11月）実施","第8位","幼・小・中学校教育","17.5"
"第30回（平成27年11月）実施","第9位","景観","15.1"
"第30回（平成27年11月）実施","第10位","保育","15.1"
"第31回（平成29年9月）実施","第1位","防災・生活安全","46.6"
"第31回（平成29年9月）実施","第2位","高齢者福祉","42.6"
"第31回（平成29年9月）実施","第3位","街づくり・景観","35.6"
"第31回（平成29年9月）実施","第4位","子育て支援","35.2"
"第31回（平成29年9月）実施","第5位","自転車対策","21.2"
"第31回（平成29年9月）実施","第6位","道路・交通対策","21.1"
"第31回（平成29年9月）実施","第7位","たばこ対策","20.7"
"第31回（平成29年9月）実施","第8位","ごみ・リサイクル","19.7"
"第31回（平成29年9月）実施","第9位","緑や水辺の整備","19.6"
"第31回（平成29年9月）実施","第10位","住宅対策","17.6"
"第32回（令和元年10月）実施","第1位","防災・生活安全　　","38.1"
"第32回（令和元年10月）実施","第2位","まちづくり・景観 　","32.7"
"第32回（令和元年10月）実施","第3位","高齢者福祉","32.5"
"第32回（令和元年10月）実施","第4位","子育て支援","24.0"
"第32回（令和元年10月）実施","第5位","ごみ・リサイクル  ","22.6"
"第32回（令和元年10月）実施","第6位","たばこ対策        ","21.7"
"第32回（令和元年10月）実施","第7位","自転車対策　　    ","21.6"
"第32回（令和元年10月）実施","第8位","地球温暖化対策    ","20.5"
"第32回（令和元年10月）実施","第9位","道路・交通対策　　","20.1"
"第32回（令和元年10月）実施","第10位","学校教育の充実","17.0"
"第33回（令和3年12月）実施","第1位","地震等の災害対策","45.7"
"第33回（令和3年12月）実施","第2位","居住環境の向上","31.4"
"第33回（令和3年12月）実施","第3位","公園・緑・水辺の整備","31.4"
"第33回（令和3年12月）実施","第4位","高齢者福祉の充実","30.6"
"第33回（令和3年12月）実施","第5位","街並み景観の向上","29.2"
"第33回（令和3年12月）実施","第6位","ごみ問題・資源循環","28.0"
"第33回（令和3年12月）実施","第7位","子育て支援の充実","27.6"
"第33回（令和3年12月）実施","第8位","地域の防災力向上","26.0"
"第33回（令和3年12月）実施","第9位","道路・交通対策","25.3"
"第33回（令和3年12月）実施","第10位","たばこ対策","24.9"

"令和4年度港区行政資料集　港区民世論調査結果","Ver202203",,
