年齢階層,令和5年1月1日現在／年齢,令和5年1月1日現在／総数(人),令和5年1月1日現在／男(人),令和5年1月1日現在／女(人),令和4年1月1日現在／年齢,令和4年1月1日現在／総数(人),令和4年1月1日現在／男(人),令和4年1月1日現在／女(人),差引増減／総数(人),差引増減／男(人),差引増減／女(人),増減率(総数)(%)
0,総数,13260553,6509894,6750659,総数,13277052,6522919,6754133,-16499,-13025,-3474,-0.12
1,0,87008,44630,42378,-,0,0,0,87008,44630,42378,0
1,1,91032,46647,44385,0,91152,46693,44459,-120,-46,-74,-0.13
1,2,93581,48024,45557,1,95461,48941,46520,-1880,-917,-963,-1.97
1,3,95502,48665,46837,2,97025,49579,47446,-1523,-914,-609,-1.57
1,4,100792,51773,49019,3,102008,52401,49607,-1216,-628,-588,-1.19
1,5,102429,52228,50201,4,103363,52715,50648,-934,-487,-447,-0.9
1,6,105243,53730,51513,5,106110,54195,51915,-867,-465,-402,-0.82
1,7,106622,54484,52138,6,107540,54999,52541,-918,-515,-403,-0.85
1,8,104807,53445,51362,7,105140,53584,51556,-333,-139,-194,-0.32
1,9,105546,53889,51657,8,105795,54006,51789,-249,-117,-132,-0.24
1,10,103211,52810,50401,9,103357,52866,50491,-146,-56,-90,-0.14
1,11,102789,52887,49902,10,102828,52889,49939,-39,-2,-37,-0.04
1,12,104836,53835,51001,11,104729,53797,50932,107,38,69,0.1
1,13,103938,53317,50621,12,103783,53319,50464,155,-2,157,0.15
1,14,103794,53057,50737,13,103735,53012,50723,59,45,14,0.06
1,15,102696,52802,49894,14,102451,52665,49786,245,137,108,0.24
1,16,101401,51662,49739,15,101051,51578,49473,350,84,266,0.35
1,17,97131,49627,47504,16,96966,49549,47417,165,78,87,0.17
1,18,103668,52552,51116,17,100872,51259,49613,2796,1293,1503,2.77
1,19,112691,57155,55536,18,103645,52847,50798,9046,4308,4738,8.73
1,20,118741,60256,58485,19,114295,58133,56162,4446,2123,2323,3.89
1,21,125652,62586,63066,20,117457,59183,58274,8195,3403,4792,6.98
