"年度","区分","視覚障害 18歳未満[人]","視覚障害 18歳以上[人]","聴覚・平衡機能障害 18歳未満[人]","聴覚・平衡機能障害 18歳以上[人]","音声・言語そしゃく機能障害 18歳未満[人]","音声・言語そしゃく機能障害 18歳以上[人]","肢体不自由 18歳未満[人]","肢体不自由 18歳以上[人]","心臓機能障害 18歳未満[人]","心臓機能障害 18歳以上[人]","腎臓機能障害 18歳未満[人]","腎臓機能障害 18歳以上[人]","呼吸器機能障害 18歳未満[人]","呼吸器機能障害 18歳以上[人]","ぼうこう直腸機能障害(小腸含む) 18歳未満[人]","ぼうこう直腸機能障害(小腸含む) 18歳以上[人]","免疫機能障害 18歳未満[人]","免疫機能障害 18歳以上[人]","肝臓機能障害 18歳未満[人]","肝臓機能障害 18歳以上[人]","18歳未満 合計[人]","18歳以上 合計[人]","合計[人]"
"2015","合計","5","335","22","357","3","61","85","2558","11","791","0","425","4","69","3","231","0","145","2","9","135","4981","5116"
"2016","合計","3","344","19","354","2","62","91","2530","14","795","0","442","5","67","5","239","0","153","1","17","140","5003","5143"
"2017","合計","5","338","21","356","1","56","91","2451","11","809","0","461","6","73","5","231","0","163","0","18","140","4956","5096"
"2018","合計","6","320","22","362","1","60","85","2444","15","829","1","470","7","67","5","238","0","176","1","16","143","4982","5125"
"2019","１級","3","81","0","0","0","0","23","235","7","641","2","453","7","13","2","4","0","20","0","17","44","1464","1508"
"2019","２級","1","121","9","104","0","0","24","499","0","0","0","0","0","0","0","0","0","71","0","1","34","796","830"
"2019","３級","0","22","5","44","1","42","10","661","1","107","0","4","0","34","4","18","0","47","0","1","21","980","1001"
"2019","４級","0","20","0","110","1","19","3","661","4","105","0","4","1","23","1","228","0","46","0","0","10","1216","1226"
"2019","５級","1","69","0","3","0","0","3","224","0","0","0","0","0","0","0","0","0","0","0","0","4","296","300"
"2019","６級","0","18","9","105","0","0","2","111","0","0","0","0","0","0","0","0","0","0","0","0","11","234","245"
"2019","合計","5","331","23","366","2","61","65","2391","12","853","2","461","8","70","7","250","0","184","0","19","124","4986","5110"

"令和2年度港区行政資料集　身体障害者手帳所持者数","Ver202003",,,,,,,,,,,,,,,,,,,,,,,
