Ｎｏ．,局,指摘歳入,指摘歳出,指摘財産,指摘その他,指摘計,意見・要望,合計,合計うち全庁重点監査事項,合計うち局別重点監査事項
1,都民安全推進本部,,,,,,1,1,,1
2,戦略政策情報推進本部,,1,,,1,,1,,
3,総務局,,1,,,1,,1,,1
4,財務局,,1,,,1,2,3,,
5,主税局,5,1,,,6,,6,,
6,生活文化局,,1,,1,2,,2,,1
7,ｵﾘﾝﾋﾟｯｸ･ﾊﾟﾗﾘﾝﾋﾟｯｸ準備局,,1,,,1,,1,,
8,都市整備局,,,,1,1,,1,1,
9,福祉保健局,,1,1,,2,,2,,
10,病院経営本部,,2,,,2,,2,,
11,産業労働局,,2,,,2,1,3,,
12,中央卸売市場,1,4,1,2,8,1,9,,5
13,建設局,,5,,1,6,,6,,
14,港湾局,,8,,,8,,8,,
15,東京消防庁,1,1,,1,3,,3,,
16,交通局,1,3,,1,5,1,6,,2
17,水道局　,,12,,,12,1,13,,12
18,下水道局,,4,,,4,,4,,2
19,教育庁,,4,,,4,,4,,
合計,,8,52,2,7,69,7,76,1,24
