"年月[西暦]","調査項目","設問","選択肢","件数[人]","(全体)[%]","(除不)[%]"
"202003","差別、偏見について","Q30. あなたは、日常生活の中で、障害を持っていることが原因で、次のような対応を受けたことがありますか。（あてはまるものすべてに○）","希望する仕事につけなかった","132","9.5","10.2"
"202003","差別、偏見について","Q30. あなたは、日常生活の中で、障害を持っていることが原因で、次のような対応を受けたことがありますか。（あてはまるものすべてに○）","希望した学校に入学できなかった","24","1.7","1.8"
"202003","差別、偏見について","Q30. あなたは、日常生活の中で、障害を持っていることが原因で、次のような対応を受けたことがありますか。（あてはまるものすべてに○）","職場での労働条件や給料が、周囲の人に比べて悪い","98","7.0","7.5"
"202003","差別、偏見について","Q30. あなたは、日常生活の中で、障害を持っていることが原因で、次のような対応を受けたことがありますか。（あてはまるものすべてに○）","職場、学校、地域の人に、障害のことで嫌がらせを受けた","86","6.2","6.6"
"202003","差別、偏見について","Q30. あなたは、日常生活の中で、障害を持っていることが原因で、次のような対応を受けたことがありますか。（あてはまるものすべてに○）","一人で自立して生活したいが、経済面などの支援が不足している","102","7.3","7.8"
"202003","差別、偏見について","Q30. あなたは、日常生活の中で、障害を持っていることが原因で、次のような対応を受けたことがありますか。（あてはまるものすべてに○）","道路や建物が利用しにくい","215","15.4","16.5"
"202003","差別、偏見について","Q30. あなたは、日常生活の中で、障害を持っていることが原因で、次のような対応を受けたことがありますか。（あてはまるものすべてに○）","スポーツに接する機会が少ない","176","12.6","13.5"
"202003","差別、偏見について","Q30. あなたは、日常生活の中で、障害を持っていることが原因で、次のような対応を受けたことがありますか。（あてはまるものすべてに○）","文化・芸術に接する機会が少ない","89","6.4","6.8"
"202003","差別、偏見について","Q30. あなたは、日常生活の中で、障害を持っていることが原因で、次のような対応を受けたことがありますか。（あてはまるものすべてに○）","家族や施設の人から暴力による虐待を受けた","17","1.2","1.3"
"202003","差別、偏見について","Q30. あなたは、日常生活の中で、障害を持っていることが原因で、次のような対応を受けたことがありますか。（あてはまるものすべてに○）","年金が本人のために使われなかったり、知らない間に預金が引き出されるなど、自分の財産が侵害された","8","0.6","0.6"
"202003","差別、偏見について","Q30. あなたは、日常生活の中で、障害を持っていることが原因で、次のような対応を受けたことがありますか。（あてはまるものすべてに○）","民間の食堂やホテルなどで障害を理由に利用を断られた","32","2.3","2.5"
"202003","差別、偏見について","Q30. あなたは、日常生活の中で、障害を持っていることが原因で、次のような対応を受けたことがありますか。（あてはまるものすべてに○）","公的施設で障害を理由に利用を断られた","22","1.6","1.7"
"202003","差別、偏見について","Q30. あなたは、日常生活の中で、障害を持っていることが原因で、次のような対応を受けたことがありますか。（あてはまるものすべてに○）","親族の冠婚葬祭への出席を断られた","15","1.1","1.2"
"202003","差別、偏見について","Q30. あなたは、日常生活の中で、障害を持っていることが原因で、次のような対応を受けたことがありますか。（あてはまるものすべてに○）","その他","54","3.9","4.2"
"202003","差別、偏見について","Q30. あなたは、日常生活の中で、障害を持っていることが原因で、次のような対応を受けたことがありますか。（あてはまるものすべてに○）","特にない","783","56.2","60.2"
"202003","差別、偏見について","Q30. あなたは、日常生活の中で、障害を持っていることが原因で、次のような対応を受けたことがありますか。（あてはまるものすべてに○）","無回答","94","6.7",

"港区保健福祉基礎調査（身体障害者）・単純集計表・差別偏見についてQ30","Ver202003",,,,,
