"年月[西暦]","調査項目","設問","選択肢","件数[件]","(全体)[%]","(除不)[%]"
"202003","組織・体制・人材について","Q2-3. 【問２-１において「３．あまり充足していない」「４．充足していない」と回答された方のみ】人材の育成や支援について効果的と思うものは何ですか。（あてはまるものすべてに○）","就労のための相談窓口の設置","12","20.7","21.4"
"202003","組織・体制・人材について","Q2-3. 【問２-１において「３．あまり充足していない」「４．充足していない」と回答された方のみ】人材の育成や支援について効果的と思うものは何ですか。（あてはまるものすべてに○）","雇用中の相談窓口の設置","12","20.7","21.4"
"202003","組織・体制・人材について","Q2-3. 【問２-１において「３．あまり充足していない」「４．充足していない」と回答された方のみ】人材の育成や支援について効果的と思うものは何ですか。（あてはまるものすべてに○）","就労体験期間の補助","6","10.3","10.7"
"202003","組織・体制・人材について","Q2-3. 【問２-１において「３．あまり充足していない」「４．充足していない」と回答された方のみ】人材の育成や支援について効果的と思うものは何ですか。（あてはまるものすべてに○）","人材育成プログラム等の配布","10","17.2","17.9"
"202003","組織・体制・人材について","Q2-3. 【問２-１において「３．あまり充足していない」「４．充足していない」と回答された方のみ】人材の育成や支援について効果的と思うものは何ですか。（あてはまるものすべてに○）","報酬に対する加算","39","67.2","69.6"
"202003","組織・体制・人材について","Q2-3. 【問２-１において「３．あまり充足していない」「４．充足していない」と回答された方のみ】人材の育成や支援について効果的と思うものは何ですか。（あてはまるものすべてに○）","資格取得の援助","27","46.6","48.2"
"202003","組織・体制・人材について","Q2-3. 【問２-１において「３．あまり充足していない」「４．充足していない」と回答された方のみ】人材の育成や支援について効果的と思うものは何ですか。（あてはまるものすべてに○）","その他","7","12.1","12.5"
"202003","組織・体制・人材について","Q2-3. 【問２-１において「３．あまり充足していない」「４．充足していない」と回答された方のみ】人材の育成や支援について効果的と思うものは何ですか。（あてはまるものすべてに○）","無回答","2","3.4",

"港区保健福祉基礎調査（事業所）・単純集計表・組織体制人材についてQ2-3","Ver202003",,,,,
