区分,平成31年度当初予算額（億円）,平成30年度補正後予算額（億円）,平成30年度当初予算額（億円）,差引増減額等対30年度補正後（億円）,差引増減額等増減率（%）,差引増減額等対30年度当初（億円）,差引増減額等増減率（%）
都民税／個人,9516,9448,9125,69,0.7,391,4.3
都民税／法人,9369,9567,8492,-198,-2.1,877,10.3
都民税／利子割,74,93,67,-20,-21.2,7,10.5
事業税／個人,530,526,526,5,0.9,5,0.9
事業税／法人,11209,10916,10198,293,2.7,1011,9.9
繰入地方消費税,5338,5488,5400,-150,-2.7,-62,-1.2
不動産取得税,873,872,827,1,0.1,46,5.6
都たばこ税,160,160,157,0,0,3,2.1
ゴルフ場利用税,6,6,6,0,-0.5,0,-3.5
自動車取得税,84,182,176,-98,-53.8,-92,-52.3
軽油引取税,402,403,408,-1,-0.2,-5,-1.2
自動車税,1082,1050,1052,33,3.1,30,2.9
鉱区税,0,0,0,-,0,-,0
固定資産税,12772,12437,12407,335,2.7,365,2.9
特別土地保有税,0,0,0,-,0,0,-0.1
狩猟税,0,0,0,-,0,0,-0.4
事業所税,1098,1072,1065,26,2.4,32,3
都市計画税,2490,2408,2401,82,3.4,89,3.7
宿泊税,28,26,25,2,8,3,13.9
旧法による税,0,0,0,-,0,-,0
計,55032,54653,52332,379,0.7,2700,5.2
法人二税,20578,20483,18690,95,0.5,1888,10.1
固定・都市計,15262,14845,14808,416,2.8,454,3.1
