区分,平成30年度当初予算額（億円）,平成29年度補正後予算額（億円）,平成29年度当初予算額（億円）,差引増減額等対29年度補正後（億円）,差引増減額等増減率（%）,差引増減額等対29年度当初（億円）,差引増減額等増減率（%）
都民税／個人,9125,9021,8803,104,1.2,323,3.7
都民税／法人,8492,8268,7723,224,2.7,769,10
都民税／利子割,67,82,80,-15,-18.5,-13,-16.6
事業税／個人,526,516,506,10,1.9,20,3.9
事業税／法人,10198,10001,9815,197,2,383,3.9
繰入地方消費税,5400,6436,6174,-1036,-16.1,-774,-12.5
不動産取得税,827,819,782,7,0.9,45,5.8
都たばこ税,157,164,170,-7,-4.3,-14,-8
ゴルフ場利用税,6,6,7,0,0.4,0,-1.3
自動車取得税,176,171,136,5,2.8,40,29.3
軽油引取税,408,409,403,-2,-0.4,5,1.2
自動車税,1052,1046,1045,6,0.6,8,0.8
鉱区税,0,0,0,-,0,-,0
固定資産税,12407,11926,11908,481,4,499,4.2
特別土地保有税,0,0,0,-,0,0,0
狩猟税,0,0,0,-,0,0,1.3
事業所税,1065,1043,1032,22,2.1,33,3.2
都市計画税,2401,2305,2304,96,4.2,97,4.2
宿泊税,25,23,24,2,7.1,1,3.6
旧法による税,0,0,0,-,0,-,0
計,52332,52238,50911,94,0.2,1420,2.8
法人二税,18690,18269,17538,421,2.3,1152,6.6
固定・都市計,14808,14231,14213,577,4.1,595,4.2
