男女・年,西暦(年),建設業（千人）,製造業（千人）,情報通信業（千人）,運輸業（千人）,卸売・小売業（千人）,金融・保険業（千人）,不動産業（千人）,飲食店，宿泊業（千人）,医療，福祉（千人）,教育，学習支援業（千人）,※サービス業（千人）
実数／男女計／平成14年平均,2002,489,915,390,333,1166,218,151,445,401,287,1145
実数／男女計／平成15年平均,2003,480,849,463,337,1153,216,149,437,454,281,1151
実数／男女計／平成16年平均,2004,491,809,459,289,1183,241,132,412,464,290,1189
実数／男／平成14年平均,2002,413,643,277,283,631,102,87,214,109,142,647
実数／男／平成15年平均,2003,402,601,346,280,620,118,85,206,121,133,650
実数／男／平成16年平均,2004,404,578,337,240,634,122,80,190,118,140,674
実数／女／平成14年平均,2002,76,272,113,50,535,117,64,231,293,145,498
実数／女／平成15年平均,2003,78,249,117,58,533,97,64,231,333,149,501
実数／女／平成16年平均,2004,88,232,121,49,548,119,52,222,346,150,515
対前年増減数／男女計／平成15年平均,2003,-9,-66,73,4,-13,-2,-2,-8,53,-6,6
対前年増減数／男女計／平成16年平均,2004,11,-40,-4,-48,30,25,-17,-25,10,9,38
対前年増減数／男／平成15年平均,2003,-11,-42,69,-3,-11,16,-2,-8,12,-9,3
対前年増減数／男／平成16年平均,2004,2,-23,-9,-40,14,4,-5,-16,-3,7,24
対前年増減数／女／平成15年平均,2003,2,-23,4,8,-2,-20,0,0,40,4,3
対前年増減数／女／平成16年平均,2004,10,-17,4,-9,15,22,-12,-9,13,1,14
,,,,,,,,,,,,
東京の労働力統計データ（平成16年平均）,,,,,,,,,,,,
第４表　主な産業別就業者数,,,,,,,,,,,,
※サービス業は、他に分類されないものを含む,,,,,,,,,,,,
