男女・年,西暦(年),15歳以上人口（千人）,15歳以上人口／労働力人口（千人）,15歳以上人口／労働力人口／就業者数（千人）,15歳以上人口／労働力人口／就業者数／従業者数（千人）,15歳以上人口／労働力人口／就業者数／従業者数／主に仕事（千人）,15歳以上人口／労働力人口／就業者数／従業者数／家事などのかたわらに仕事（千人）,15歳以上人口／労働力人口／就業者数／従業者数／通学のかたわらに仕事（千人）,15歳以上人口／労働力人口／就業者数／休業者数（千人）,15歳以上人口／労働力人口／就業者数／自営業主数（千人）,15歳以上人口／労働力人口／就業者数／家族従業者数（千人）,15歳以上人口／労働力人口／就業者数／雇用者数（千人）,15歳以上人口／労働力人口／就業者数／雇用者数／うち常雇（千人）,15歳以上人口／労働力人口／完全失業者数（千人）,15歳以上人口／非労働力人口（千人）,15歳以上人口／非労働力人口／家事（千人）,15歳以上人口／非労働力人口／通学（千人）,15歳以上人口／非労働力人口／その他（千人）,労働力人口比率（％、ポイント）,完全失業率（％、ポイント）
実数／男女計／平成９年平均,1997,10311,6646,6371,6277,5422,693,161,94,658,240,5447,4843,275,3646,1732,922,922,64.5,4.1
実数／男女計／平成10年平均,1998,10356,6650,6322,6220,5332,706,181,102,677,217,5405,4766,328,3691,1759,929,1003,64.2,4.9
実数／男女計／平成11年平均,1999,10356,6587,6227,6125,5263,669,193,102,646,198,5353,4695,360,3750,1812,923,1015,63.6,5.5
実数／男女計／平成12年平均,2000,10380,6524,6196,6104,5245,675,183,92,598,188,5386,4702,328,3842,1818,890,1134,62.9,5
実数／男女計／平成13年平均,2001,10426,6511,6175,6065,5215,678,172,110,565,180,5405,4690,336,3905,1810,856,1240,62.4,5.2
実数／男女計／平成14年平均,2002,10725,6702,6330,6217,5342,705,170,113,576,186,5540,4788,372,4013,1787,871,1356,62.5,5.6
実数／男女計／平成15年平均,2003,10814,6724,6385,6267,5381,696,190,118,595,180,5581,4824,339,4082,1855,887,1340,62.2,5
実数／男女計／平成16年平均,2004,10875,6714,6379,6265,5405,689,172,114,590,171,5590,4777,335,4151,1839,884,1428,61.7,5
実数／男／平成９年平均,1997,5133,4037,3879,3823,3709,25,88,56,484,44,3334,3127,158,1085,17,513,556,78.6,3.9
実数／男／平成10年平均,1998,5142,4029,3827,3773,3643,32,97,55,481,36,3296,3075,201,1104,19,521,564,78.4,5
実数／男／平成11年平均,1999,5120,3989,3765,3707,3583,29,94,58,457,37,3253,3038,224,1120,24,511,585,77.9,5.6
実数／男／平成12年平均,2000,5113,3945,3749,3697,3567,33,97,52,429,33,3272,3033,196,1159,31,477,651,77.2,5
実数／男／平成13年平均,2001,5119,3924,3717,3661,3535,36,89,56,413,28,3261,3017,207,1191,30,464,697,76.7,5.3
実数／男／平成14年平均,2002,5317,4054,3827,3769,3633,41,94,58,425,33,3354,3082,227,1257,31,470,756,76.2,5.6
実数／男／平成15年平均,2003,5358,4059,3860,3798,3667,32,99,62,439,32,3375,3104,199,1295,29,488,778,75.8,4.9
実数／男／平成16年平均,2004,5382,4022,3820,3761,3632,36,93,59,445,28,3330,3028,202,1355,39,482,833,74.7,5
実数／女／平成９年平均,1997,5178,2609,2492,2454,1713,668,73,37,174,197,2112,1716,118,2561,1716,409,436,50.4,4.5
実数／女／平成10年平均,1998,5214,2621,2494,2447,1689,674,84,47,197,180,2109,1691,127,2587,1740,408,440,50.3,4.8
実数／女／平成11年平均,1999,5236,2598,2463,2418,1679,640,99,45,189,161,2101,1656,136,2630,1787,412,430,49.6,5.2
実数／女／平成12年平均,2000,5267,2579,2447,2406,1678,642,86,41,169,155,2114,1669,132,2683,1787,413,482,49,5.1
実数／女／平成13年平均,2001,5306,2588,2458,2404,1680,642,83,54,152,152,2145,1673,129,2714,1780,392,543,48.8,5
実数／女／平成14年平均,2002,5408,2648,2503,2448,1708,664,76,55,151,153,2186,1706,145,2755,1755,401,600,49,5.5
実数／女／平成15年平均,2003,5457,2665,2525,2468,1714,663,91,56,157,148,2206,1720,140,2787,1825,400,562,48.8,5.3
実数／女／平成16年平均,2004,5493,2692,2559,2505,1773,653,78,55,145,143,2260,1749,133,2797,1800,401,595,49,4.9
対前年増減数／男女計／平成10年平均,1998,45,4,-49,-57,-90,13,20,8,19,-23,-42,-77,53,45,27,7,81,-0.3,0.8
対前年増減数／男女計／平成11年平均,1999,0,-63,-95,-95,-69,-37,12,0,-31,-19,-52,-71,32,59,53,-6,12,-0.6,0.6
