区分,男女計／実数（千人、％）,男女計／前年（千人、％）,男女計／対前年／増減数（千人、ポイント）,男女計／対前年／比（％）,男／実数（千人、％）,男／前年（千人、％）,男／対前年／増減数（千人、ポイント）,男／対前年／比（％）,女／実数（千人、％）,女／前年（千人、％）,女／対前年／増減数（千人、ポイント）,女／対前年／比（％）
15歳以上人口,10875,10814,61,0.6,5382,5358,24,0.4,5493,5457,36,0.7
〔就業状態〕／労働力人口,6714,6724,-10,-0.1,4022,4059,-37,-0.9,2692,2665,27,1
〔就業状態〕／労働力人口／就業者数,6379,6385,-6,-0.1,3820,3860,-40,-1,2559,2525,34,1.3
〔就業状態〕／労働力人口／就業者数／自営業主数,590,595,-5,-0.8,445,439,6,1.4,145,157,-12,-7.6
〔就業状態〕／労働力人口／就業者数／家族従業者数,171,180,-9,-5,28,32,-4,-12.5,143,148,-5,-3.4
〔就業状態〕／労働力人口／就業者数／雇用者数,5590,5581,9,0.2,3330,3375,-45,-1.3,2260,2206,54,2.4
〔就業状態〕／労働力人口／就業者数／雇用者数／うち常雇,4777,4824,-47,-1,3028,3104,-76,-2.4,1749,1720,29,1.7
〔就業状態〕／労働力人口／完全失業者数,335,339,-4,-1.2,202,199,3,1.5,133,140,-7,-5
〔就業状態〕／非労働力人口,4151,4082,69,1.7,1355,1295,60,4.6,2797,2787,10,0.4
〔就業者の活動状況別内訳〕／就業者数（再掲）,6379,6385,-6,-0.1,3820,3860,-40,-1,2559,2525,34,1.3
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数,6265,6267,-2,0,3761,3798,-37,-1,2505,2468,37,1.5
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数／主に仕事,5405,5381,24,0.4,3632,3667,-35,-1,1773,1714,59,3.4
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数／家事などのかたわらに仕事,689,696,-7,-1,36,32,4,12.5,653,663,-10,-1.5
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数／通学のかたわらに仕事,172,190,-18,-9.5,93,99,-6,-6.1,78,91,-13,-14.3
〔就業者の活動状況別内訳〕／就業者数（再掲）／休業者数,114,118,-4,-3.4,59,62,-3,-4.8,55,56,-1,-1.8
〔就業者の主な産業別内訳〕／建設業,491,480,11,2.3,404,402,2,0.5,88,78,10,12.8
〔就業者の主な産業別内訳〕／製造業,809,849,-40,-4.7,578,601,-23,-3.8,232,249,-17,-6.8
〔就業者の主な産業別内訳〕／情報通信業,459,463,-4,-0.9,337,346,-9,-2.6,121,117,4,3.4
〔就業者の主な産業別内訳〕／運輸業,289,337,-48,-14.2,240,280,-40,-14.3,49,58,-9,-15.5
〔就業者の主な産業別内訳〕／卸売・小売業,1183,1153,30,2.6,634,620,14,2.3,548,533,15,2.8
〔就業者の主な産業別内訳〕／金融・保険業,241,216,25,11.6,122,118,4,3.4,119,97,22,22.7
〔就業者の主な産業別内訳〕／不動産業,132,149,-17,-11.4,80,85,-5,-5.9,52,64,-12,-18.8
〔就業者の主な産業別内訳〕／飲食店，宿泊業,412,437,-25,-5.7,190,206,-16,-7.8,222,231,-9,-3.9
〔就業者の主な産業別内訳〕／医療，福祉,464,454,10,2.2,118,121,-3,-2.5,346,333,13,3.9
〔就業者の主な産業別内訳〕／教育，学習支援業,290,281,9,3.2,140,133,7,5.3,150,149,1,0.7
〔就業者の主な産業別内訳〕／サービス業（他に分類されないもの）,1189,1151,38,3.3,674,650,24,3.7,515,501,14,2.8
〔非農林業雇用者の従業者規模別内訳〕／総数,5584,5576,8,0.1,3325,3371,-46,-1.4,2259,2205,54,2.4
〔非農林業雇用者の従業者規模別内訳〕／総数／１～29人規模,1786,1845,-59,-3.2,1052,1074,-22,-2,734,771,-37,-4.8
〔非農林業雇用者の従業者規模別内訳〕／総数／30～499人規模,1709,1679,30,1.8,978,985,-7,-0.7,731,693,38,5.5
〔非農林業雇用者の従業者規模別内訳〕／総数／500人以上規模,1564,1541,23,1.5,971,993,-22,-2.2,593,547,46,8.4
〔完全失業率（年齢階級別）(%)〕／総数,5,5,0,,5,4.9,0.1,,4.9,5.3,-0.4,
〔完全失業率（年齢階級別）(%)〕／総数／15～24歳,8.6,8,0.6,,9.5,9,0.5,,7.7,7.1,0.6,
〔完全失業率（年齢階級別）(%)〕／総数／25～34歳,6.2,5.7,0.5,,6.3,4.8,1.5,,5.8,7.1,-1.3,
〔完全失業率（年齢階級別）(%)〕／総数／35～44歳,4.2,4.3,-0.1,,3.4,3.6,-0.2,,5.4,5.5,-0.1,
〔完全失業率（年齢階級別）(%)〕／総数／45～54歳,3.9,3.7,0.2,,3.8,4.1,-0.3,,4,3.2,0.8,
〔完全失業率（年齢階級別）(%)〕／総数／55～64歳,4.5,5.5,-1,,5.4,6.2,-0.8,,3.1,4.4,-1.3,
〔完全失業率（年齢階級別）(%)〕／総数／65歳以上,2.7,3.6,-0.9,,2.8,4,-1.2,,2.1,2.8,-0.7,
〔労働力人口比率(%)〕／総数,61.7,62.2,-0.5,,74.7,75.8,-1.1,,49,48.8,0.2,
,,,,,,,,,,,,
東京の労働力統計データ（平成16年平均）,,,,,,,,,,,,
第１表　就業状態別15歳以上人口、産業別就業者数及び完全失業者数,,,,,,,,,,,,
平成16年平均,,,,,,,,,,,,
注1)15歳以上人口及び就業者数には、不詳を含む。,,,,,,,,,,,,
注2)非農林業雇用者の従業者規模別内訳の総数には、官公・従業者規模不詳を含むため、規模別内訳を積み上げても総数と一致しない。,,,,,,,,,,,,
