年,西暦(年),男女計／１～29人（千人）,男女計／30～499人（千人）,男女計／500人以上（千人）,男／１～29人（千人）,男／30～499人（千人）,男／500人以上（千人）,女／１～29人（千人）,女／30～499人（千人）,女／500人以上（千人）
実数／平成９年平均,1997,1895,1620,1500,1119,975,979,775,645,521
実数／平成10年平均,1998,1903,1566,1485,1128,947,954,775,619,531
実数／平成11年平均,1999,1867,1541,1529,1083,923,997,784,618,532
実数／平成12年平均,2000,1780,1559,1573,1036,919,1031,744,639,542
実数／平成13年平均,2001,1788,1593,1542,1048,937,977,740,656,564
実数／平成14年平均,2002,1895,1682,1473,1115,1011,920,780,671,553
実数／平成15年平均,2003,1845,1679,1541,1074,985,993,771,693,547
実数／平成16年平均,2004,1786,1709,1564,1052,978,971,734,731,593
対前年増減数／平成10年平均,1998,8,-54,-15,9,-28,-25,0,-26,10
対前年増減数／平成11年平均,1999,-36,-25,44,-45,-24,43,9,-1,1
対前年増減数／平成12年平均,2000,-87,18,44,-47,-4,34,-40,21,10
対前年増減数／平成13年平均,2001,8,34,-31,12,18,-54,-4,17,22
対前年増減数／平成14年平均,2002,107,89,-69,67,74,-57,40,15,-11
対前年増減数／平成15年平均,2003,-50,-3,68,-41,-26,73,-9,22,-6
対前年増減数／平成16年平均,2004,-59,30,23,-22,-7,-22,-37,38,46
,,,,,,,,,,
東京の労働力統計データ（平成16年平均）,,,,,,,,,,
第６表　企業の従業者規模別雇用者数,,,,,,,,,,
