"年度","区分","調定額[円]","収納額[円]","不納欠損額[円]","未収額[円]","収納率[%]"
"2013","現年分","2605276000","2543705000","0","61571000","97.64"
"2013","特別徴収","655513000","655513000","0","0","100.00"
"2013","普通徴収","1949763000","1888192000","0","61571000","96.84"
"2013","滞納繰越分","94693000","23942000","29805000","40946000","25.28"
"2014","現年分","2822143000","2753948000","0","68195000","97.58"
"2014","特別徴収","664101000","664101000","0","0","100.00"
"2014","普通徴収","2158043000","2089847000","0","68195000","96.84"
"2014","滞納繰越分","102700000","24792000","31237000","46670000","24.14"
"2015","現年分","2885417000","2826528000","0","58888000","97.96"
"2015","特別徴収","636395000","636395000","0","0","100.00"
"2015","普通徴収","2249022000","2190134000","0","58888000","97.38"
"2015","滞納繰越分","114822000","39913000","32688000","42221000","34.76"
"2016","現年分","3055429000","3002926000","0","52503000","98.28"
"2016","特別徴収","634646000","634646000","0","0","100.00"
"2016","普通徴収","2420783000","2368280000","0","52503000","97.83"
"2016","滞納繰越分","101719000","38947000","29396000","33376000","38.29"
"2017","現年分","3147294000","3095128000","0","52167000","98.34"
"2017","特別徴収","671774000","671774000","0","0","100.00"
"2017","普通徴収","2475521000","2423354000","0","52167000","97.89"
"2017","滞納繰越分","85913000","27666000","24320000","33927000","32.20"

"平成30年度港区行政資料集　後期高齢者医療保険料調定収納状況","Ver201803",,,,,
