年,西暦（年）,総合,生鮮食品を除く総合,持家の帰属家賃を除く総合,食料,住居,持家の帰属家賃を除く住居,光熱・水道,家具・家事用品,被服及び履物,保健医療,交通・通信,教育,教養娯楽,諸雑費
昭和28年平均,1953,- ,- ,15.5,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
昭和29年平均,1954,- ,- ,16.4,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
昭和30年平均,1955,- ,- ,16.1,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
昭和31年平均,1956,- ,- ,16.3,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
昭和32年平均,1957,- ,- ,16.8,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
昭和33年平均,1958,- ,- ,17,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
昭和34年平均,1959,- ,- ,17.1,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
昭和35年平均,1960,- ,- ,17.8,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
昭和36年平均,1961,- ,- ,18.7,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
昭和37年平均,1962,- ,- ,20,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
昭和38年平均,1963,- ,- ,21.5,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
昭和39年平均,1964,- ,- ,22.4,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
昭和40年平均,1965,- ,- ,24,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
昭和41年平均,1966,- ,- ,25.2,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
昭和42年平均,1967,- ,- ,26.2,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
昭和43年平均,1968,- ,- ,27.7,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
昭和44年平均,1969,- ,- ,29.2,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
昭和45年平均,1970,31.5,31.5,31.4,30,30,27.8,32.5,80.7,30.1,35.3,37.3,14.2,36.5,26.8
昭和46年平均,1971,33.4,33.6,33.3,32,31.9,29.8,33,84.3,33.1,35.8,38.4,15.4,39.2,28.2
昭和47年平均,1972,35.2,35.8,34.9,33.2,35.7,32.2,34.1,86,35,39.3,40.1,16.5,41,29.4
昭和48年平均,1973,39.5,39.8,39.1,37.8,39.7,35.8,36.3,96.4,42.4,38.7,42.4,18.3,45.2,31.5
昭和49年平均,1974,47.8,47.9,47.8,47.5,44.9,43.9,42.6,131.3,51.5,41.8,49.4,21.8,54.8,36.4
昭和50年平均,1975,53.6,53.9,53.6,53.5,50.1,47.7,50.4,132.5,54.4,47.3,56.5,28,62.9,41.2
昭和51年平均,1976,58.8,58.9,58.8,58.6,54.9,52.2,56,133.6,59.3,51.7,61.7,32.6,66.8,49.8
昭和52年平均,1977,63.7,63.8,63.7,62.5,60.1,56.9,61.9,137.9,62.2,54.1,75.3,37.3,71.5,53.1
昭和53年平均,1978,66.9,67,66.4,64.9,65.7,60.8,61,139.8,64.9,59.8,77.2,42.1,74.5,54.7
昭和54年平均,1979,69.4,69.5,68.7,65.8,69.5,64.4,64.5,141.6,67.4,62.2,81.7,46.2,76.8,56.3
昭和55年平均,1980,74.3,74.5,73.9,69.6,71.3,68,85.7,152.5,70.7,63.3,85.7,50.5,82.5,64.3
昭和56年平均,1981,77.8,77.9,77.5,73,74,71,92.8,158,73.2,64.9,89,54.5,86.5,67.6
昭和57年平均,1982,80.2,80.5,79.9,74.6,76,72.8,99.2,159.1,75.9,66.4,93.9,57.9,88.2,69
昭和58年平均,1983,81.8,82.2,81.6,76.1,78.1,75.3,98.9,158.8,77.6,67.3,93.3,60.8,90.8,72.1
昭和59年平均,1984,84,84.2,83.8,78.3,80,77.9,99.9,159.6,80,69.6,94.8,63.4,93.1,73.6
昭和60年平均,1985,86,86.2,85.7,79.7,82.5,80.3,100.3,160.4,82.9,73.9,97.3,66.6,94.8,74.4
昭和61年平均,1986,86.7,87.2,86.3,79.7,84.3,81.7,95.2,161,85.4,75.4,97.2,69.1,96.6,75.7
昭和62年平均,1987,87.1,87.6,86.4,79.5,86.7,83.9,88.3,160.4,85,76.9,97.9,71.5,97.5,76.7
昭和63年平均,1988,87.9,88.3,87.2,80.5,88.1,85.7,86.6,159.6,86.2,77.1,97.7,74.2,98.8,77.4
平成元年平均,1989,90.3,90.7,89.5,82.7,91,88.4,85.7,160.7,90.9,78.1,98.8,76.4,102.3,78.6
平成2年平均,1990,93.1,93.1,92.3,86.3,93.7,91.6,86.2,160.7,94.4,78.8,99.8,79.8,106.5,79.9
平成3年平均,1991,96.2,95.8,95.3,90.3,96.9,95,86.8,162,100.2,79.6,100.6,82.6,109.4,81.4
平成4年平均,1992,98,98.1,97,90.8,100,98.6,86.8,163.9,102.8,81.7,103,85.4,112.4,82.5
