年月,西暦（年）,月,総合,生鮮食品を除く総合,持家の帰属家賃を除く総合,食料,住居,持家の帰属家賃を除く住居,光熱・水道,家具・家事用品,被服及び履物,保健医療,交通・通信,教育,教養娯楽,諸雑費
令和2年3月,2020,3,100.1 ,100.3 ,100.2 ,99.5 ,99.8 ,99.6 ,101.9 ,99.3 ,99.3 ,100.2 ,100.2 ,102.5 ,101.4 ,99.9 
令和2年4月,2020,4,100.3 ,100.2 ,100.4 ,100.4 ,99.8 ,99.6 ,102.0 ,99.1 ,100.7 ,99.9 ,99.2 ,100.1 ,102.4 ,99.7 
令和2年5月,2020,5,100.3 ,100.3 ,100.4 ,100.4 ,100.1 ,100.1 ,102.1 ,99.5 ,100.5 ,100.0 ,99.3 ,99.0 ,102.5 ,99.9 
令和2年6月,2020,6,100.0 ,100.1 ,100.0 ,100.1 ,100.1 ,100.1 ,101.9 ,99.3 ,100.4 ,100.2 ,99.2 ,97.2 ,101.1 ,99.8 
令和2年7月,2020,7,100.2 ,100.2 ,100.2 ,100.3 ,100.1 ,100.1 ,101.3 ,99.7 ,98.7 ,100.3 ,100.4 ,99.4 ,100.6 ,99.8 
令和2年8月,2020,8,100.2 ,99.9 ,100.2 ,101.1 ,100.0 ,100.1 ,100.6 ,99.6 ,98.1 ,100.0 ,100.7 ,98.9 ,99.3 ,99.9 
令和2年9月,2020,9,99.8 ,99.7 ,99.8 ,100.2 ,100.1 ,100.2 ,99.1 ,100.0 ,101.4 ,99.9 ,99.9 ,99.2 ,97.8 ,100.1 
令和2年10月,2020,10,99.9 ,99.8 ,99.8 ,100.2 ,100.1 ,100.3 ,97.3 ,101.4 ,101.9 ,99.8 ,100.0 ,99.6 ,97.8 ,100.5 
令和2年11月,2020,11,99.6 ,99.7 ,99.4 ,99.3 ,100.2 ,100.3 ,95.6 ,102.7 ,102.4 ,99.8 ,100.0 ,99.6 ,97.3 ,100.6 
令和2年12月,2020,12,99.3 ,99.5 ,99.0 ,98.5 ,100.2 ,100.4 ,94.2 ,101.3 ,100.8 ,99.9 ,100.1 ,99.6 ,98.2 ,100.2 
令和3年1月,2021,1,99.7 ,99.7 ,99.6 ,99.7 ,100.4 ,101.0 ,93.5 ,101.1 ,97.8 ,99.8 ,100.1 ,99.6 ,101.1 ,100.2 
令和3年2月,2021,2,99.8 ,99.8 ,99.7 ,99.5 ,100.4 ,101.3 ,93.7 ,102.1 ,98.2 ,100.0 ,100.0 ,99.5 ,100.8 ,100.8 
令和3年3月,2021,3,99.8 ,100.0 ,99.7 ,99.1 ,100.4 ,101.4 ,94.7 ,102.6 ,99.8 ,99.9 ,99.8 ,99.5 ,101.2 ,100.8 
令和3年4月,2021,4,99.1 ,99.3 ,98.9 ,98.9 ,100.3 ,101.2 ,96.4 ,102.7 ,101.2 ,99.6 ,91.6 ,100.6 ,101.9 ,101.1 
令和3年5月,2021,5,99.5 ,99.6 ,99.3 ,99.2 ,100.4 ,101.3 ,98.9 ,102.3 ,101.0 ,99.8 ,91.9 ,100.9 ,102.4 ,101.0 
令和3年6月,2021,6,99.5 ,99.5 ,99.4 ,99.7 ,100.4 ,101.3 ,99.7 ,102.0 ,100.8 ,99.7 ,91.8 ,101.0 ,101.5 ,101.0 
令和3年7月,2021,7,99.8 ,99.8 ,99.7 ,99.7 ,100.4 ,101.3 ,100.1 ,103.2 ,99.4 ,99.7 ,92.7 ,101.0 ,103.0 ,101.1 
令和3年8月,2021,8,99.8 ,99.9 ,99.7 ,99.8 ,100.6 ,101.6 ,99.8 ,103.9 ,99.0 ,99.9 ,91.7 ,101.0 ,103.9 ,101.0 
