"年月[西暦]","調査項目","設問","選択肢","件数[人]","(全体)[%]","(除不)[%]"
"202003","差別、偏見について","Q31. あなたは、日常生活の中で、障害を持っていることが原因で次のような対応を受けたことがありますか。（あてはまるものすべてに○）","希望する仕事につけなかった","26","10.6","11.9"
"202003","差別、偏見について","Q31. あなたは、日常生活の中で、障害を持っていることが原因で次のような対応を受けたことがありますか。（あてはまるものすべてに○）","希望した学校に入学できなかった","27","11.0","12.3"
"202003","差別、偏見について","Q31. あなたは、日常生活の中で、障害を持っていることが原因で次のような対応を受けたことがありますか。（あてはまるものすべてに○）","職場での労働条件や給料が、周囲の人に比べて悪い","28","11.4","12.8"
"202003","差別、偏見について","Q31. あなたは、日常生活の中で、障害を持っていることが原因で次のような対応を受けたことがありますか。（あてはまるものすべてに○）","職場、学校、地域の人に、障害のことで嫌がらせを受けた","43","17.6","19.6"
"202003","差別、偏見について","Q31. あなたは、日常生活の中で、障害を持っていることが原因で次のような対応を受けたことがありますか。（あてはまるものすべてに○）","一人で自立して生活したいが、経済面などの支援が不足している","26","10.6","11.9"
"202003","差別、偏見について","Q31. あなたは、日常生活の中で、障害を持っていることが原因で次のような対応を受けたことがありますか。（あてはまるものすべてに○）","道路や建物が利用しにくい","23","9.4","10.5"
"202003","差別、偏見について","Q31. あなたは、日常生活の中で、障害を持っていることが原因で次のような対応を受けたことがありますか。（あてはまるものすべてに○）","スポーツに接する機会が少ない","47","19.2","21.5"
"202003","差別、偏見について","Q31. あなたは、日常生活の中で、障害を持っていることが原因で次のような対応を受けたことがありますか。（あてはまるものすべてに○）","文化・芸術に接する機会が少ない","36","14.7","16.4"
"202003","差別、偏見について","Q31. あなたは、日常生活の中で、障害を持っていることが原因で次のような対応を受けたことがありますか。（あてはまるものすべてに○）","家族や施設の人から暴力による虐待を受けた","3","1.2","1.4"
"202003","差別、偏見について","Q31. あなたは、日常生活の中で、障害を持っていることが原因で次のような対応を受けたことがありますか。（あてはまるものすべてに○）","年金が本人のために使われなかったり、知らない間に預金が引き出されるなど、自分の財産が侵害された","6","2.4","2.7"
"202003","差別、偏見について","Q31. あなたは、日常生活の中で、障害を持っていることが原因で次のような対応を受けたことがありますか。（あてはまるものすべてに○）","民間の食堂やホテルなどで障害を理由に利用を断られた","8","3.3","3.7"
"202003","差別、偏見について","Q31. あなたは、日常生活の中で、障害を持っていることが原因で次のような対応を受けたことがありますか。（あてはまるものすべてに○）","公的施設で障害を理由に利用を断られた","9","3.7","4.1"
"202003","差別、偏見について","Q31. あなたは、日常生活の中で、障害を持っていることが原因で次のような対応を受けたことがありますか。（あてはまるものすべてに○）","親族の冠婚葬祭への出席を断られた","16","6.5","7.3"
"202003","差別、偏見について","Q31. あなたは、日常生活の中で、障害を持っていることが原因で次のような対応を受けたことがありますか。（あてはまるものすべてに○）","その他","10","4.1","4.6"
"202003","差別、偏見について","Q31. あなたは、日常生活の中で、障害を持っていることが原因で次のような対応を受けたことがありますか。（あてはまるものすべてに○）","特にない","87","35.5","39.7"
"202003","差別、偏見について","Q31. あなたは、日常生活の中で、障害を持っていることが原因で次のような対応を受けたことがありますか。（あてはまるものすべてに○）","無回答","26","10.6",

"港区保健福祉基礎調査（知的障害者）・単純集計表・差別偏見についてQ31","Ver202003",,,,,
