"年月[西暦]","調査項目","設問","取組","回答者の属性種別","回答者の属性","すでに実行している[人]","今後実行するつもり[人]","実行したいが困難[人]","実行するつもりはない[人]","無回答[人]","すでに実行している[%]","今後実行するつもり[%]","実行したいが困難[%]","実行するつもりはない[%]","無回答[%]"
"202003","環境に配慮した行動","Q4. あなたは、環境をより良くするための取組を実行していますか。（○はそれぞれ１つ）","節電・節水など省エネルギーに努める","性別","男性","135","50","40","18","0","55.6","20.6","16.5","7.4","0.0"
"202003","環境に配慮した行動","Q4. あなたは、環境をより良くするための取組を実行していますか。（○はそれぞれ１つ）","節電・節水など省エネルギーに努める","性別","女性","162","66","34","10","0","59.6","24.3","12.5","3.7","0.0"
"202003","環境に配慮した行動","Q4. あなたは、環境をより良くするための取組を実行していますか。（○はそれぞれ１つ）","節電・節水など省エネルギーに努める","年齢","18～29歳","20","15","5","7","0","42.6","31.9","10.6","14.9","0.0"
"202003","環境に配慮した行動","Q4. あなたは、環境をより良くするための取組を実行していますか。（○はそれぞれ１つ）","節電・節水など省エネルギーに努める","年齢","30～39歳","50","30","14","4","0","51.0","30.6","14.3","4.1","0.0"
"202003","環境に配慮した行動","Q4. あなたは、環境をより良くするための取組を実行していますか。（○はそれぞれ１つ）","節電・節水など省エネルギーに努める","年齢","40～49歳","90","29","20","9","0","60.8","19.6","13.5","6.1","0.0"
"202003","環境に配慮した行動","Q4. あなたは、環境をより良くするための取組を実行していますか。（○はそれぞれ１つ）","節電・節水など省エネルギーに努める","年齢","50～59歳","73","28","24","6","0","55.7","21.4","18.3","4.6","0.0"
"202003","環境に配慮した行動","Q4. あなたは、環境をより良くするための取組を実行していますか。（○はそれぞれ１つ）","節電・節水など省エネルギーに努める","年齢","60～69歳","38","14","6","2","0","63.3","23.3","10.0","3.3","0.0"
"202003","環境に配慮した行動","Q4. あなたは、環境をより良くするための取組を実行していますか。（○はそれぞれ１つ）","節電・節水など省エネルギーに努める","年齢","70歳以上","26","0","5","0","0","83.9","0.0","16.1","0.0","0.0"
"202003","環境に配慮した行動","Q4. あなたは、環境をより良くするための取組を実行していますか。（○はそれぞれ１つ）","電車やバスなどの公共交通機関を積極的に利用する","性別","男性","173","32","22","16","0","71.2","13.2","9.1","6.6","0.0"
"202003","環境に配慮した行動","Q4. あなたは、環境をより良くするための取組を実行していますか。（○はそれぞれ１つ）","電車やバスなどの公共交通機関を積極的に利用する","性別","女性","199","42","22","9","0","73.2","15.4","8.1","3.3","0.0"
"202003","環境に配慮した行動","Q4. あなたは、環境をより良くするための取組を実行していますか。（○はそれぞれ１つ）","電車やバスなどの公共交通機関を積極的に利用する","年齢","18～29歳","32","6","7","2","0","68.1","12.8","14.9","4.3","0.0"
"202003","環境に配慮した行動","Q4. あなたは、環境をより良くするための取組を実行していますか。（○はそれぞれ１つ）","電車やバスなどの公共交通機関を積極的に利用する","年齢","30～39歳","65","19","8","6","0","66.3","19.4","8.2","6.1","0.0"
"202003","環境に配慮した行動","Q4. あなたは、環境をより良くするための取組を実行していますか。（○はそれぞれ１つ）","電車やバスなどの公共交通機関を積極的に利用する","年齢","40～49歳","109","23","12","4","0","73.6","15.5","8.1","2.7","0.0"
"202003","環境に配慮した行動","Q4. あなたは、環境をより良くするための取組を実行していますか。（○はそれぞれ１つ）","電車やバスなどの公共交通機関を積極的に利用する","年齢","50～59歳","93","18","12","8","0","71.0","13.7","9.2","6.1","0.0"
"202003","環境に配慮した行動","Q4. あなたは、環境をより良くするための取組を実行していますか。（○はそれぞれ１つ）","電車やバスなどの公共交通機関を積極的に利用する","年齢","60～69歳","47","7","3","3","0","78.3","11.7","5.0","5.0","0.0"
"202003","環境に配慮した行動","Q4. あなたは、環境をより良くするための取組を実行していますか。（○はそれぞれ１つ）","電車やバスなどの公共交通機関を積極的に利用する","年齢","70歳以上","26","1","2","2","0","83.9","3.2","6.5","6.5","0.0"
"202003","環境に配慮した行動","Q4. あなたは、環境をより良くするための取組を実行していますか。（○はそれぞれ１つ）","身の回りに木でできた製品を取り入れて使う","性別","男性","31","56","107","49","0","12.8","23.0","44.0","20.2","0.0"
"202003","環境に配慮した行動","Q4. あなたは、環境をより良くするための取組を実行していますか。（○はそれぞれ１つ）","身の回りに木でできた製品を取り入れて使う","性別","女性","44","80","112","36","0","16.2","29.4","41.2","13.2","0.0"
"202003","環境に配慮した行動","Q4. あなたは、環境をより良くするための取組を実行していますか。（○はそれぞれ１つ）","身の回りに木でできた製品を取り入れて使う","年齢","18～29歳","9","6","24","8","0","19.1","12.8","51.1","17.0","0.0"
"202003","環境に配慮した行動","Q4. あなたは、環境をより良くするための取組を実行していますか。（○はそれぞれ１つ）","身の回りに木でできた製品を取り入れて使う","年齢","30～39歳","15","28","35","20","0","15.3","28.6","35.7","20.4","0.0"
"202003","環境に配慮した行動","Q4. あなたは、環境をより良くするための取組を実行していますか。（○はそれぞれ１つ）","身の回りに木でできた製品を取り入れて使う","年齢","40～49歳","22","36","61","29","0","14.9","24.3","41.2","19.6","0.0"
"202003","環境に配慮した行動","Q4. あなたは、環境をより良くするための取組を実行していますか。（○はそれぞれ１つ）","身の回りに木でできた製品を取り入れて使う","年齢","50～59歳","13","35","64","19","0","9.9","26.7","48.9","14.5","0.0"
"202003","環境に配慮した行動","Q4. あなたは、環境をより良くするための取組を実行していますか。（○はそれぞれ１つ）","身の回りに木でできた製品を取り入れて使う","年齢","60～69歳","11","18","23","8","0","18.3","30.0","38.3","13.3","0.0"
"202003","環境に配慮した行動","Q4. あなたは、環境をより良くするための取組を実行していますか。（○はそれぞれ１つ）","身の回りに木でできた製品を取り入れて使う","年齢","70歳以上","5","13","12","1","0","16.1","41.9","38.7","3.2","0.0"
"202003","環境に配慮した行動","Q4. あなたは、環境をより良くするための取組を実行していますか。（○はそれぞれ１つ）","食材を無駄なく使う、不要なレジ袋を断るなど、ごみとなるものを出さないよう心がける","性別","男性","132","56","34","21","0","54.3","23.0","14.0","8.6","0.0"
"202003","環境に配慮した行動","Q4. あなたは、環境をより良くするための取組を実行していますか。（○はそれぞれ１つ）","食材を無駄なく使う、不要なレジ袋を断るなど、ごみとなるものを出さないよう心がける","性別","女性","178","47","37","10","0","65.4","17.3","13.6","3.7","0.0"
"202003","環境に配慮した行動","Q4. あなたは、環境をより良くするための取組を実行していますか。（○はそれぞれ１つ）","食材を無駄なく使う、不要なレジ袋を断るなど、ごみとなるものを出さないよう心がける","年齢","18～29歳","23","10","9","5","0","48.9","21.3","19.1","10.6","0.0"
