（輸出）,, 5-(1)外貿貨物主要国別表（累計上位20位）,,,,(単位：トン）
,,当月,前年比,1月以降累計,前年比,構成比
総計,,"888,018",91.60%,"7,728,562",93.60%,100.00%
1,中国,"241,100",105.70%,"1,740,719",86.70%,22.50%
,(香港),"39,840",130.20%,"272,694",101.80%,3.50%
2,アメリカ,"191,890",88.30%,"1,656,010",82.60%,21.40%
3,ベトナム,"63,891",67.80%,"906,791",143.20%,11.70%
4,タイ,"39,400",68.60%,"515,895",95.90%,6.70%
5,台湾,"62,673",135.50%,"497,213",128.70%,6.40%
6,韓国,"39,925",54.50%,"308,012",66.20%,4.00%
7,オランダ,"33,701",92.10%,"297,187",92.40%,3.80%
8,マレーシア,"31,758",121.70%,"255,226",92.90%,3.30%
9,インドネシア,"20,672",57.80%,"233,740",88.50%,3.00%
10,インド,"35,186",117.90%,"193,270",80.10%,2.50%
11,ドイツ,"19,270",120.90%,"167,176",106.90%,2.20%
12,シンガポール,"18,659",123.00%,"146,091",102.50%,1.90%
13,フィリピン,"15,036",82.10%,"113,890",74.40%,1.50%
14,バングラディシュ,"2,982",116.70%,"109,685",581.40%,1.40%
15,カナダ,"10,709",121.20%,"85,160",97.40%,1.10%
16,イギリス,"9,078",77.20%,"75,565",78.30%,1.00%
17,ロシア,"4,937",69.40%,"52,387",80.40%,0.70%
18,ブラジル,"4,393",80.70%,"39,786",88.70%,0.50%
19,オーストラリア,"5,491",150.60%,"39,233",124.00%,0.50%
20,フランス,"4,072",98.10%,"35,543",93.40%,0.50%
,その他,"33,195",104.60%,"259,983",91.10%,3.40%
