 2-(4)入港船舶係留施設別表,,,,,,,,,,,,(単位：隻、総トン)
,合計,,,,外航船,,,,内航船,,,
係留施設,当月,,1月以降累計,,当月,,1月以降累計,,当月,,1月以降累計,
,隻数,総トン数,隻数,総トン数,隻数,総トン数,隻数,総トン数,隻数,総トン数,隻数,総トン数
合計,"1,720 ","13,763,698 ","13,904 ","112,158,257 ",412 ,"10,250,381 ","3,315 ","83,413,507 ","1,308 ","3,513,317 ","10,589 ","28,744,750 "
公共計,935 ,"5,037,172 ","7,395 ","41,382,618 ",153 ,"2,151,852 ","1,274 ","17,990,640 ",782 ,"2,885,320 ","6,121 ","23,391,978 "
ドルフィン,3 ,"1,497 ",37 ,"21,915 ",-,-,-,-,3 ,"1,497 ",37 ,"21,915 "
芝浦ふ頭,29 ,"80,640 ",227 ,"589,103 ",-,-,-,-,29 ,"80,640 ",227 ,"589,103 "
芝浦物揚場,24 ,"10,860 ",194 ,"88,812 ",-,-,-,-,24 ,"10,860 ",194 ,"88,812 "
日の出ふ頭,6 ,"5,180 ",56 ,"37,202 ",-,-,-,-,6 ,"5,180 ",56 ,"37,202 "
竹芝ふ頭,224 ,"451,275 ","1,122 ","2,894,261 ",-,-,-,-,224 ,"451,275 ","1,122 ","2,894,261 "
品川岸壁,137 ,"1,577,658 ","1,146 ","13,055,294 ",74 ,"740,148 ",601 ,"6,013,521 ",63 ,"837,510 ",545 ,"7,041,773 "
 品川コンテナ,72 ,"675,092 ",605 ,"5,659,199 ",69 ,"671,738 ",572 ,"5,616,746 ",3 ,"3,354 ",33 ,"42,453 "
 品川外貿,5 ,"68,410 ",29 ,"396,775 ",5 ,"68,410 ",29 ,"396,775 ",-,-,-,-
 品川内貿,60 ,"834,156 ",512 ,"6,999,320 ",-,-,-,-,60 ,"834,156 ",512 ,"6,999,320 "
晴海ふ頭,-,-,14 ,"61,502 ",-,-,1 ,"22,472 ",-,-,13 ,"39,030 "
月島ふ頭,2 ,650 ,150 ,"45,548 ",-,-,-,-,2 ,650 ,150 ,"45,548 "
漁業基地,2 ,"2,872 ",6 ,"8,616 ",-,-,-,-,2 ,"2,872 ",6 ,"8,616 "
