（輸入）,, 5-(2)外貿コンテナ貨物主要国別表（累計上位20位）,,,,(単位：トン）
,,当月,前年比,1月以降累計,前年比,構成比
総計,,"2,592,287",90.80%,"22,057,493",95.90%,100.00%
1,中国,"1,181,581",94.10%,"9,436,708",95.60%,42.80%
,(香港),"98,168",77.30%,"894,189",82.80%,4.10%
2,アメリカ,"254,889",83.50%,"2,593,056",98.10%,11.80%
3,タイ,"147,603",83.20%,"1,403,115",91.50%,6.40%
4,ベトナム,"185,099",103.30%,"1,394,391",97.80%,6.30%
5,台湾,"115,473",92.70%,"1,021,484",95.60%,4.60%
6,韓国,"98,040",84.40%,"897,801",99.70%,4.10%
7,カナダ,"75,061",80.60%,"779,719",95.80%,3.50%
8,シンガポール,"90,399",87.60%,"735,673",96.10%,3.30%
9,マレーシア,"92,437",110.10%,"701,370",104.60%,3.20%
10,インドネシア,"51,466",70.70%,"529,321",89.30%,2.40%
11,オランダ,"49,215",126.20%,"376,996",118.20%,1.70%
12,ドイツ,"44,335",106.10%,"366,274",100.70%,1.70%
13,フィリピン,"44,396",107.70%,"280,961",74.30%,1.30%
14,フランス,"25,876",91.30%,"174,453",80.70%,0.80%
15,ニュージーランド,"11,166",83.40%,"151,020",94.30%,0.70%
16,イタリア,"17,512",96.20%,"139,814",119.90%,0.60%
17,チリ,"1,706",7.00%,"124,457",62.40%,0.60%
18,ブラジル,"12,288",84.20%,"103,960",119.70%,0.50%
19,イギリス,"4,956",35.10%,"90,304",81.80%,0.40%
20,フィンランド,"10,059",112.20%,"76,278",155.00%,0.30%
,その他,"78,730",79.90%,"680,338",95.30%,3.10%
7,カナダ,"7ふ頭,,,芝浦物揚場,,,日の出ふ頭,,,,,,,,,
,,計,移出,移入,計,移出,移入,計,移出,移入,計,移出,移入,計,移出,移入,計,移出,移入,,,,,,,
合計,,"39,312,245","15,054,365","24,257,880","89,242","89,242",-,"822,778","81,240","741,538","737,508","19,390","718,118","85,270","61,850","23,420","37,290",-,"37,290",合計,,,,,,
農水産品,,"423,601","206,303","217,298",-,-,-,143,143,-,-,-,-,143,143,-,-,-,-,農水産品,,,,,,
1,麦,"92,261","13,089","79,172",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,麦,,,,,
2,米,"53,870","38,610","15,260",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,米,,,,,
3,とうもろこし,427,427,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,とうもろこし,,,,,
4,豆類,"21,102","17,175","3,927",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,豆類,,,,,
5,その他雑穀,"2,382","1,897",485,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,その他雑穀,,,,,
6,野菜・果物,"142,096","85,529","56,567",-,-,-,143,143,-,-,-,-,143,143,-,-,-,-,6,野菜・果物,,,,,
7,綿花,30,-,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,綿花,,,,,
8,その他農産品,"8,596","6,399","2,197",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,その他農産品,,,,,
9,羊毛,21,21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9,羊毛,,,,,
10,その他畜産品,"42,537","15,342","27,195",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,その他畜産品,,,,,
11,水産品,"60,279","27,814","32,465",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,水産品,,,,,
林産品,,"109,823","77,669","32,154",-,-,-,"10,392","9,043","1,349",-,-,-,"10,392","9,043","1,349",-,-,-,林産品,,,,,,
12,原木,"1,082",22,"1,060",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12,原木,,,,,
13,製材,"81,542","64,337","17,205",-,-,-,"10,145","9,043","1,102",-,-,-,"10,145","9,043","1,102",-,-,-,13,製材,,,,,
14,樹脂類,"12,345","7,940","4,405",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14,樹脂類,,,,,
15,木材チップ,"6,562",30,"6,532",-,-,-,28,-,28,-,-,-,28,-,28,-,-,-,15,木材チップ,,,,,
