（輸出）,, 5-(2)外貿コンテナ貨物主要国別表（累計上位20位）,,,,(単位：トン）
,,当月,前年比,1月以降累計,前年比,構成比
総計,,"869,084",95.90%,"7,333,505",93.00%,100.00%
1,中国,"240,865",105.70%,"1,740,249",86.90%,23.70%
,(香港),"39,840",130.20%,"272,694",101.80%,3.70%
2,アメリカ,"191,890",88.30%,"1,656,010",82.60%,22.60%
3,ベトナム,"63,891",93.20%,"678,322",147.90%,9.20%
4,タイ,"39,400",68.60%,"515,895",95.90%,7.00%
5,台湾,"60,173",130.10%,"474,547",129.80%,6.50%
6,オランダ,"33,701",92.10%,"297,187",92.40%,4.10%
7,マレーシア,"31,758",121.70%,"255,226",92.90%,3.50%
8,韓国,"24,162",66.60%,"253,194",83.70%,3.50%
9,インドネシア,"20,672",57.80%,"233,740",88.50%,3.20%
10,インド,"35,186",117.90%,"193,270",80.10%,2.60%
11,ドイツ,"19,270",120.90%,"167,176",106.90%,2.30%
12,シンガポール,"18,659",123.00%,"146,091",102.50%,2.00%
13,フィリピン,"14,600",84.20%,"110,905",75.00%,1.50%
14,カナダ,"10,709",121.20%,"85,160",97.40%,1.20%
15,イギリス,"9,078",77.20%,"75,565",78.30%,1.00%
16,ロシア,"4,937",69.40%,"52,387",80.40%,0.70%
17,ブラジル,"4,393",80.70%,"39,786",88.70%,0.50%
18,オーストラリア,"5,491",150.60%,"39,233",124.00%,0.50%
19,フランス,"4,072",98.10%,"35,543",93.40%,0.50%
20,アラブ首長国,"3,195",69.60%,"33,196",74.10%,0.50%
,その他,"32,982",111.00%,"250,823",96.70%,3.40%
