 2-(5)カーフェリー輸送状況,,,,,,（単位：隻、総トン、トン、台、人）,
,,,合計,,九州,,
,,,当月,1月以降累計,当月,1月以降累計,
入港船舶,隻数,,30,227,30,227,
,総トン数,,"379,080","2,868,372","379,080","2,868,372",
取扱貨物,計,計,"803,985","6,369,305","803,985","6,369,305",
,,出荷,"394,095","3,263,285","394,095","3,263,285",
,,入荷,"409,890","3,106,020","409,890","3,106,020",
取　扱　台　数,バ　ス,計,10,50,10,50,
,,出荷,-,7,-,7,
,,入荷,10,43,10,43,
,トラック,計,"7,308","57,970","7,308","57,970",
,,出荷,"3,596","29,988","3,596","29,988",
,,入荷,"3,712","27,982","3,712","27,982",
,乗用車,計,"4,074","29,132","4,074","29,132",
,,出荷,"2,181","16,009","2,181","16,009",
,,入荷,"1,893","13,123","1,893","13,123",
乗降人員,計,,"2,618","12,359","2,618","12,359",
,乗船,,"1,327","6,532","1,327","6,532",
,降船,,"1,291","5,827","1,291","5,827",
,,,,,,,
（注）カーフェリー（自動車航送船）による貨物量は車両区分別に台数を調整し,,,,,,,
　　　所定の換算トンをかけて算出しています。,,,,,,,
