（輸入）,, 5-(1)外貿貨物主要国別表（累計上位20位）,,,,(単位：トン）
,,当月,前年比,1月以降累計,前年比,構成比
総計,,"2,664,099",89.80%,"22,873,649",96.00%,100.00%
1,中国,"1,186,974",94.00%,"9,461,663",95.40%,41.40%
,(香港),"98,168",77.30%,"894,189",82.80%,3.90%
2,アメリカ,"264,360",82.00%,"2,731,919",100.70%,11.90%
3,タイ,"147,603",83.20%,"1,403,115",91.50%,6.10%
4,ベトナム,"185,099",103.30%,"1,394,391",97.70%,6.10%
5,台湾,"115,473",92.70%,"1,021,484",95.50%,4.50%
6,韓国,"100,467",84.50%,"932,998",100.10%,4.10%
7,カナダ,"80,187",65.80%,"860,650",89.80%,3.80%
8,シンガポール,"90,399",87.60%,"735,673",96.10%,3.20%
9,マレーシア,"93,937",110.30%,"704,870",103.80%,3.10%
10,フィリピン,"80,701",90.70%,"634,790",84.60%,2.80%
11,インドネシア,"51,466",70.70%,"529,321",89.10%,2.30%
12,オランダ,"49,215",126.20%,"376,996",118.20%,1.60%
13,ドイツ,"44,335",106.10%,"366,274",100.70%,1.60%
14,ニュージーランド,"18,636",105.10%,"210,023",96.80%,0.90%
15,フランス,"25,876",91.30%,"174,453",80.70%,0.80%
16,イタリア,"17,512",96.20%,"139,814",119.90%,0.60%
17,チリ,"1,706",7.00%,"124,457",62.40%,0.50%
18,ブラジル,"12,288",84.20%,"103,960",119.70%,0.50%
19,イギリス,"4,956",35.10%,"90,304",81.80%,0.40%
20,オーストラリア,"4,627",268.40%,"83,447",115.10%,0.40%
,その他,"88,282",80.30%,"793,047",100.10%,3.50%
