申請区分,手数料(円),備考
薬局開設許可,34100,
薬局開設許可更新,12700,
薬局開設許可証の書換交付,2500,
薬局開設許可証の再交付,3500,
薬局製造販売医薬品製造販売業許可,7200,
薬局製造販売医薬品製造販売業許可更新,4400,
薬局製造販売医薬品製造業許可,13800,
薬局製造販売医薬品製造業許可更新,7600,
薬局製造販売医薬品製造販売業又は製造業許可証の書換交付,2400,
薬局製造販売医薬品製造販売業又は製造業許可証の再交付,3400,
薬局製造販売医薬品製造販売品目承認,140,
薬局製造販売医薬品製造販売品目一部変更承認,140,
医薬品販売業許可（店舗販売業、卸売販売業）,34100,
医薬品販売業許可更新（店舗販売業、卸売販売業）,12700,
医薬品販売業許可証の書換交付（店舗販売業、卸売販売業）,2500,
医薬品販売業許可証の再交付（店舗販売業、卸売販売業）,3500,
高度管理医療機器等販売業又は貸与業許可,34100,
高度管理医療機器等販売業又は貸与業許可更新,12400,
高度管理医療機器等販売業又は貸与業許可証の書換交付,2400,
高度管理医療機器等販売業又は貸与業許可証の再交付,3400,
毒物劇物販売業登録,16900,
毒物劇物販売業登録更新,7400,
毒物劇物販売業登録票の書換交付,2800,
毒物劇物販売業登録票の再交付,4900,
麻薬小売業者免許,4600,
麻薬小売業者免許証の再交付,3200,
